Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2026,"Brice Turang","MIL",15,0.133333333,0.2,0.666666666,0.153846153,0.266666666,0.153846153,0.420512819,0,0.2,0.577732816379486,-1.1143532692976608,0.21630111535390217,33.9775256903353,22186
2026,"Xavier Edwards","MIA",19,0.052631578,0.157894736,0.333333333,0.294117647,0.333333333,0.352941176,0.686274509,0.058823529,0.357142857,2.1563866929611333,0.013077651103413891,0.3149752716223399,96.02694185133726,22266
2026,"Jake Burger","TEX",13,0,0.461538461,0,0.307692307,0.307692307,0.538461538,0.846153845,0.230769231,0.5,2.0842231745743094,0.6177485669874487,0.3766061526078444,149.0198694932566,22275
2026,"Heliot Ramos","SFG",13,0,0.538461538,0,0.153846153,0.153846153,0.153846153,0.307692306,0,0.333333333,-0.24826997740110995,-1.7147445849879706,0.14048026158259466,-13.673480312653465,22515
2026,"Gabriel Moreno","ARI",13,0.076923076,0.23076923,0.333333333,0.09090909,0.153846153,0.09090909,0.244755243,0,0.111111111,-0.40326998645934375,-1.8697445940462043,0.12478910501186664,-27.128914625705086,22664
2026,"Maikel Garcia","KCR",17,0.117647058,0.117647058,1,0.466666666,0.529411764,0.8,1.329411764,0.333333334,0.5,5.340073167045789,3.4223756032783563,0.5790081094293034,286.0489047077762,22715
2026,"Geraldo Perdomo","ARI",17,0.117647058,0,2,0.083333333,0.1875,0.083333333,0.270833333,0,0.071428571,-0.25707671071334903,-2.1747742744807823,0.14571218937635422,-13.542126755548054,22799
2026,"Yainer Diaz","HOU",16,0.0625,0.1875,0.333333333,0.266666666,0.3125,0.266666666,0.579166666,0,0.333333333,1.3007342313862513,-0.5041575933360387,0.2726014666259289,75.39289900975865,23003
2026,"Davis Schneider","TOR",13,0.307692307,0.23076923,1.333333333,0.222222222,0.461538461,0.222222222,0.683760683,0,0.333333333,1.9071075335412364,0.44063292595437575,0.35867615846487194,135.6444803788756,23565
2026,"Brayan Rocchio","CLE",11,0.09090909,0.181818181,0.5,0.2,0.272727272,0.5,0.772727272,0.3,0.142857142,1.4870647404128325,0.24620161091625822,0.3435248407450589,125.64568341054479,23690
