game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,rl_home_line,lock_tier,lock_dollars,lock_edge,lock_p_model,lock_p_true,lock_retail_implied,lock_sanity_pass,lock_odds_floor_pass,lock_edge_pass,xgb_rl_raw,ensemble_min,ensemble_max,model_spread,p_std,variance_gate,p_std_away,variance_gate_away,away_lock_tier,away_lock_dollars,away_lock_edge,away_lock_p_model,away_lock_p_true,away_lock_retail_implied,away_lock_sanity_pass,away_lock_odds_floor_pass,away_lock_edge_pass,ml_lock_tier,ml_lock_dollars,ml_lock_edge,ml_lock_p_model,ml_lock_p_true,ml_lock_retail_implied,ml_lock_sanity_pass,ml_lock_edge_pass,ou_lock_tier,ou_lock_dollars,ou_lock_edge,ou_direction,ou_posted_line,ou_p_model,ou_p_true,ou_p_retail,ou_lock_sanity_pass,ou_lock_edge_pass,mc_over_prob,p_true_over,p_true_under,retail_implied_over,retail_implied_under,mc_total_lo,mc_total_hi,total_floor_10th,total_ceiling_90th,total_variance_spread,home_k_line,home_k_model_over,home_k_implied_over,home_k_edge,home_k_over_odds,home_k_under_odds,away_k_line,away_k_model_over,away_k_implied_over,away_k_edge,away_k_over_odds,away_k_under_odds,pp_home_k_line,pp_home_k_model,pp_home_k_edge,pp_away_k_line,pp_away_k_model,pp_away_k_edge,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_away_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65,ump_k_above_avg,mc_f5_home_runs_lo,mc_f5_home_runs_hi,mc_f5_away_runs_lo,mc_f5_away_runs_hi,mc_f5_total_lo,mc_f5_total_hi,batter_props,f5_xgb_l1,f5_stacker_l2,f5_team_log_odds
NYY @ BOS,BOS,NYY,CONNELLY EARLY,LUIS GIL,NORMAL,NORMAL,0.36,0.2837,39.9,0.266,0.308,0.282,0.364,0.186,0.814,3.8,4.7,2,5,2,6,8.47,8.83,-121,100,4.5,327,,,0.548,RL +1.5 (home),0.718,0.718,0.234,327.0,0.4833,*,True,0.484,3.5,1.0,50.0,0.3289,0.549,0.577373,0.22008,True,True,True,0.4062,0.3653,0.492,0.1267,0.0186,True,0.0188,True,,,,0.549,0.422627,0.77992,True,False,False,,,,0.4831,0.539285,0.522678,False,False,,,,OVER,4.5,0.7999,0.35863,0.377532,False,False,0.7999,0.35863,0.64137,0.377532,0.622468,5,11,6.58,12.25,5.67,,,,,,,,,,,,,,,,,,,AWAY +1.5 **,OVER 4.5,True,6:45 pm ET,97.1,103.8,1.93,2.86,4.79,0.2524,0.5754,0.126,0.383,0.3202,0.4366,0.384,0.574,5.53,5.37,0.7667,0.6174,0.4662,0.3255,0.7505,0.5989,0.4441,0.3055,0.0184,1,3,2,4,3,6,"[{'player': 'Amed Rosario', 'side': 'away', 'team': 'NYY', 'pos': 1, 'hit_prob': 0.79, 'hr_prob': 0.138, 'pa_season': 49, 'avg': 0.309, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Ben Rice', 'side': 'away', 'team': 'NYY', 'pos': 3, 'hit_prob': 0.748, 'hr_prob': 0.119, 'pa_season': 84, 'avg': 0.305, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Aaron Judge', 'side': 'away', 'team': 'NYY', 'pos': 2, 'hit_prob': 0.702, 'hr_prob': 0.125, 'pa_season': 95, 'avg': 0.264, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Cody Bellinger', 'side': 'away', 'team': 'NYY', 'pos': 5, 'hit_prob': 0.652, 'hr_prob': 0.094, 'pa_season': 92, 'avg': 0.26, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.345,0.462,-1.876
CIN @ TB,TB,CIN,STEVEN MATZ,CHASE BURNS,NORMAL,NORMAL,0.3274,0.2902,78.3,0.243,0.251,0.246,0.33,0.175,0.825,3.9,5.2,2,5,3,7,9.12,9.45,-110,-110,13.5,215,,,0.524,RL +1.5 (home),0.754,0.754,0.317,215.0,0.4362,*,True,0.437,8.5,1.0,50.0,0.3024,0.6007,0.605301,0.298282,True,True,True,0.3203,0.226,0.3433,0.1173,0.0273,True,0.0272,True,,,-0.3024,0.6007,0.394699,0.701718,True,True,False,,,-0.0442,0.4558,0.491806,0.5,True,False,,,,OVER,13.5,0.169,0.507324,0.52647,False,False,0.169,0.507324,0.492676,0.52647,0.47353,6,12,6.42,13.34,6.92,,,,,,,,,,,,,,,,,,,AWAY +1.5 **,UNDER 13.5,True,6:40 pm ET,99.3,92.2,2.27,2.78,5.05,0.3195,0.5012,0.1781,0.3643,0.3644,0.4268,0.453,0.555,3.63,4.79,0.478,0.3046,0.1748,0.0923,0.673,0.5058,0.3492,0.2228,-0.0258,1,3,2,4,3,6,"[{'player': 'Chandler Simpson', 'side': 'home', 'team': 'TB', 'pos': 1, 'hit_prob': 0.748, 'hr_prob': 0.096, 'pa_season': 95, 'avg': 0.284, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Jonny DeLuca', 'side': 'home', 'team': 'TB', 'pos': 5, 'hit_prob': 0.719, 'hr_prob': 0.099, 'pa_season': 45, 'avg': 0.316, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Sal Stewart', 'side': 'away', 'team': 'CIN', 'pos': 4, 'hit_prob': 0.712, 'hr_prob': 0.093, 'pa_season': 98, 'avg': 0.293, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Yandy Díaz', 'side': 'home', 'team': 'TB', 'pos': 4, 'hit_prob': 0.698, 'hr_prob': 0.081, 'pa_season': 100, 'avg': 0.286, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Dane Myers', 'side': 'away', 'team': 'CIN', 'pos': 1, 'hit_prob': 0.697, 'hr_prob': 0.128, 'pa_season': 32, 'avg': 0.25, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Junior Caminero', 'side': 'home', 'team': 'TB', 'pos': 2, 'hit_prob': 0.693, 'hr_prob': 0.09, 'pa_season': 101, 'avg': 0.262, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Elly De La Cruz', 'side': 'away', 'team': 'CIN', 'pos': 3, 'hit_prob': 0.684, 'hr_prob': 0.092, 'pa_season': 102, 'avg': 0.267, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.435,0.547,-0.238
HOU @ CLE,CLE,HOU,PARKER MESSICK,RYAN WEISS,NORMAL,UNKNOWN,0.2662,0.3905,59.2,0.491,0.397,0.453,0.588,0.399,0.601,5.8,4.2,3,8,2,6,10.03,9.69,-156,129,8.5,135,,,0.609,RL -1.5 (home),0.453,0.453,0.426,135.0,0.0277,,False,0.027,-1.5,,,,0.5674,0.404489,0.407089,False,False,False,0.4898,0.3917,0.6673,0.2756,0.0196,True,0.0199,True,,,,0.4326,0.595511,0.592911,False,False,False,2.0,0.0,0.0195,0.602,0.583087,0.582545,True,True,2.0,6.32,0.0276,OVER,8.5,0.5493,0.525984,0.521739,True,True,0.5493,0.525984,0.474016,0.521739,0.478261,6,13,6.79,12.44,5.66,,,,,,,,,,,,,,,,,,,,OVER 8.5,True,6:10 pm ET,97.9,106.1,3.52,1.9,5.42,0.686,0.175,0.5125,0.3326,0.5126,0.3176,0.721,0.383,5.31,3.8,0.7414,0.5883,0.4319,0.298,0.5143,0.3358,0.2006,0.1083,-0.0044,2,5,1,3,4,7,"[{'player': 'Yordan Alvarez', 'side': 'away', 'team': 'HOU', 'pos': 2, 'hit_prob': 0.836, 'hr_prob': 0.092, 'pa_season': 109, 'avg': 0.364, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Carlos Correa', 'side': 'away', 'team': 'HOU', 'pos': 1, 'hit_prob': 0.753, 'hr_prob': 0.094, 'pa_season': 92, 'avg': 0.286, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Cam Smith', 'side': 'away', 'team': 'HOU', 'pos': 6, 'hit_prob': 0.681, 'hr_prob': 0.078, 'pa_season': 95, 'avg': 0.301, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Jose Altuve', 'side': 'away', 'team': 'HOU', 'pos': 3, 'hit_prob': 0.678, 'hr_prob': 0.08, 'pa_season': 104, 'avg': 0.259, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Christian Walker', 'side': 'away', 'team': 'HOU', 'pos': 4, 'hit_prob': 0.652, 'hr_prob': 0.082, 'pa_season': 98, 'avg': 0.254, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.8,0.798,2.458
BAL @ KC,KC,BAL,KRIS BUBIC,SHANE BAZ,NORMAL,NORMAL,0.3193,0.2924,75.6,0.282,0.208,0.252,0.365,0.212,0.788,4.5,5.6,2,6,3,7,10.04,9.63,-132,102,9.5,-282,,,0.569,ML (away),0.544,0.635,0.495,102.0,0.049,,True,0.14,1.5,,,,0.5883,0.358278,0.693153,False,False,False,0.2548,0.2548,0.504,0.2492,0.0234,True,0.0227,True,,,,0.5883,0.641722,0.306847,False,False,False,,,-0.0371,0.4976,0.537131,0.534734,True,False,2.0,3.98,0.0276,UNDER,9.5,0.4601,0.50433,0.512315,True,True,0.4601,0.49567,0.50433,0.487685,0.512315,6,13,5.93,12.02,6.08,,,,,,,,,,,,,,,,,,,AWAY +1.5 **,,True,7:40 pm ET,89.3,103.3,2.39,2.77,5.17,0.343,0.4766,0.1972,0.355,0.3805,0.4269,0.477,0.555,5.03,4.55,0.7106,0.5465,0.3904,0.2572,0.6388,0.4654,0.312,0.1933,-0.0119,1,3,2,4,4,7,"[{'player': 'Bobby Witt Jr.', 'side': 'home', 'team': 'KC', 'pos': 2, 'hit_prob': 0.773, 'hr_prob': 0.095, 'pa_season': 100, 'avg': 0.305, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Maikel Garcia', 'side': 'home', 'team': 'KC', 'pos': 1, 'hit_prob': 0.757, 'hr_prob': 0.099, 'pa_season': 102, 'avg': 0.281, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Taylor Ward', 'side': 'away', 'team': 'BAL', 'pos': 1, 'hit_prob': 0.738, 'hr_prob': 0.089, 'pa_season': 109, 'avg': 0.277, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Blaze Alexander', 'side': 'away', 'team': 'BAL', 'pos': 9, 'hit_prob': 0.684, 'hr_prob': 0.08, 'pa_season': 58, 'avg': 0.333, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Adley Rutschman', 'side': 'away', 'team': 'BAL', 'pos': 3, 'hit_prob': 0.662, 'hr_prob': 0.118, 'pa_season': 39, 'avg': 0.25, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Jac Caglianone', 'side': 'home', 'team': 'KC', 'pos': 7, 'hit_prob': 0.652, 'hr_prob': 0.084, 'pa_season': 75, 'avg': 0.283, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.703,0.644,0.263
MIL @ DET,DET,MIL,KEIDER MONTERO,KYLE HARRISON,NORMAL,NORMAL,0.3065,0.3106,65.4,0.354,0.316,0.339,0.456,0.268,0.732,4.7,4.5,2,6,2,6,9.21,9.14,-115,-105,14.5,130,,,0.535,RL +1.5 (home),0.661,0.661,0.435,130.0,0.2265,*,True,0.226,10.5,,,,0.4841,0.59516,0.407948,False,False,False,0.41,0.3276,0.41,0.0824,0.0143,True,0.0147,True,,,,0.4841,0.40484,0.592052,False,False,False,,,-0.0035,0.5073,0.507073,0.510834,True,False,,,,OVER,14.5,0.1306,0.553638,0.428352,False,False,0.1306,0.553638,0.446362,0.428352,0.571648,6,12,6.46,12.37,5.91,,,,,,,,,,,,,,,,,,,AWAY +1.5 **,UNDER 14.5,True,6:40 pm ET,106.2,102.3,2.56,2.49,5.06,0.4176,0.3973,0.2527,0.3633,0.4009,0.3937,0.511,0.5,4.2,5.16,0.5831,0.4059,0.2573,0.15,0.7228,0.5644,0.4083,0.2738,0.0028,1,4,1,3,3,6,"[{'player': 'Kevin McGonigle', 'side': 'home', 'team': 'DET', 'pos': 3, 'hit_prob': 0.672, 'hr_prob': 0.096, 'pa_season': 95, 'avg': 0.316, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.588,0.544,0.611
STL @ MIA,MIA,STL,CHRIS PADDACK,DUSTIN MAY,NORMAL,GAINER,0.3172,0.3141,73.6,0.384,0.332,0.363,0.481,0.297,0.703,4.9,4.6,2,7,2,6,9.55,9.15,1260,-10000,6.5,148,,,0.074,RL +1.5 (home),0.637,0.637,0.403,148.0,0.2337,*,True,0.234,3.5,,,,0.5046,0.615364,0.378478,False,False,False,0.4349,0.3779,0.4569,0.079,0.012,True,0.0122,True,,,,0.5046,0.384636,0.621522,False,False,False,,,,0.2162,0.512874,0.069131,False,False,,,,OVER,6.5,0.6902,0.473684,0.580719,False,False,0.6902,0.473684,0.526316,0.580719,0.419281,6,12,5.94,11.02,5.07,,,,,,,,,,,,,,,,,,,AWAY +1.5 *,OVER 6.5,True,6:40 pm ET,96.9,97.9,2.56,2.59,5.15,0.4001,0.4174,0.2418,0.3566,0.3998,0.4059,0.51,0.518,4.23,3.51,0.5854,0.4119,0.2652,0.1552,0.4587,0.2859,0.1624,0.0824,-0.0158,1,4,1,4,4,7,"[{'player': 'Otto Lopez', 'side': 'home', 'team': 'MIA', 'pos': 3, 'hit_prob': 0.743, 'hr_prob': 0.09, 'pa_season': 92, 'avg': 0.299, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Liam Hicks', 'side': 'home', 'team': 'MIA', 'pos': 5, 'hit_prob': 0.733, 'hr_prob': 0.08, 'pa_season': 79, 'avg': 0.313, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Iván Herrera', 'side': 'away', 'team': 'STL', 'pos': 2, 'hit_prob': 0.729, 'hr_prob': 0.086, 'pa_season': 102, 'avg': 0.286, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Alec Burleson', 'side': 'away', 'team': 'STL', 'pos': 3, 'hit_prob': 0.727, 'hr_prob': 0.088, 'pa_season': 99, 'avg': 0.296, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Xavier Edwards', 'side': 'home', 'team': 'MIA', 'pos': 4, 'hit_prob': 0.72, 'hr_prob': 0.076, 'pa_season': 98, 'avg': 0.293, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Jordan Walker', 'side': 'away', 'team': 'STL', 'pos': 4, 'hit_prob': 0.707, 'hr_prob': 0.092, 'pa_season': 94, 'avg': 0.303, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.623,0.599,0.678
ATL @ WSH,WSH,ATL,FOSTER GRIFFIN,REYNALDO LÓPEZ,UNKNOWN,UNKNOWN,0.3301,0.3012,57.7,0.286,0.286,0.286,0.377,0.21,0.79,4.1,4.9,2,6,2,7,8.97,9.28,-2100,810,13.5,-127,,,0.955,RL +1.5 (away),0.714,0.714,0.483,107.0,0.2309,*,True,0.231,-3.5,,,,0.449,0.543199,0.525611,False,False,False,0.3809,0.3009,0.3809,0.08,0.0198,True,0.019,True,,,,0.551,0.456801,0.474389,False,False,False,,,,0.7522,0.407933,0.896762,False,False,,,,OVER,13.5,0.1646,0.527197,0.433109,False,False,0.1646,0.527197,0.472803,0.433109,0.566891,5,12,6.64,12.79,6.15,,,,,,,,,,,,,,,,,,,AWAY +1.5 **,UNDER 13.5,True,6:45 pm ET,98.5,107.2,2.28,2.63,4.91,0.3482,0.47,0.1937,0.3741,0.3656,0.4103,0.454,0.526,4.75,4.07,0.6674,0.4993,0.3438,0.2178,0.5613,0.3825,0.2387,0.1358,0.0004,1,3,1,4,3,6,"[{'player': 'Ronald Acuña Jr.', 'side': 'away', 'team': 'ATL', 'pos': 1, 'hit_prob': 0.762, 'hr_prob': 0.102, 'pa_season': 103, 'avg': 0.288, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Drake Baldwin', 'side': 'away', 'team': 'ATL', 'pos': 2, 'hit_prob': 0.752, 'hr_prob': 0.098, 'pa_season': 106, 'avg': 0.291, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Michael Harris II', 'side': 'away', 'team': 'ATL', 'pos': 7, 'hit_prob': 0.685, 'hr_prob': 0.09, 'pa_season': 78, 'avg': 0.304, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'CJ Abrams', 'side': 'home', 'team': 'WSH', 'pos': 4, 'hit_prob': 0.654, 'hr_prob': 0.092, 'pa_season': 95, 'avg': 0.317, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.731,0.738,1.323
MIN @ NYM,NYM,MIN,NOLAN MCLEAN,SIMEON WOODS RICHARDSON,NORMAL,NORMAL,0.2288,0.3429,44.5,0.489,0.34,0.429,0.607,0.381,0.619,4.7,3.1,2,6,1,4,7.78,7.68,-190,144,7.5,-562,,,0.655,RL -1.5 (away),0.429,0.429,0.156,542.0,0.2735,*,True,0.273,1.5,,,,0.5175,0.698142,0.797881,False,False,False,0.4458,0.4458,0.4573,0.0115,0.0165,True,0.0166,True,,,,0.5175,0.301858,0.202119,False,False,False,,,,0.6383,0.527616,0.61518,False,False,,,,OVER,7.5,0.4512,0.530675,0.516439,False,False,0.4512,0.530675,0.469325,0.516439,0.483561,5,10,5.43,10.38,4.96,,,,,,,,,,,,,,,,,,,,,True,7:10 pm ET,86.6,101.6,2.68,1.29,3.97,0.6727,0.1586,0.4632,0.452,0.4152,0.227,0.53,0.258,6.56,3.49,0.8563,0.7452,0.6093,0.4698,0.4508,0.2774,0.1549,0.0788,0.0096,1,4,0,2,3,5,"[{'player': 'Bo Bichette', 'side': 'home', 'team': 'NYM', 'pos': 4, 'hit_prob': 0.733, 'hr_prob': 0.086, 'pa_season': 98, 'avg': 0.29, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Luis Robert Jr.', 'side': 'home', 'team': 'NYM', 'pos': 3, 'hit_prob': 0.714, 'hr_prob': 0.099, 'pa_season': 82, 'avg': 0.264, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Marcus Semien', 'side': 'home', 'team': 'NYM', 'pos': 1, 'hit_prob': 0.709, 'hr_prob': 0.108, 'pa_season': 86, 'avg': 0.241, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Francisco Lindor', 'side': 'home', 'team': 'NYM', 'pos': 2, 'hit_prob': 0.709, 'hr_prob': 0.102, 'pa_season': 99, 'avg': 0.25, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Francisco Alvarez', 'side': 'home', 'team': 'NYM', 'pos': 6, 'hit_prob': 0.675, 'hr_prob': 0.104, 'pa_season': 68, 'avg': 0.275, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Trevor Larnach', 'side': 'away', 'team': 'MIN', 'pos': 2, 'hit_prob': 0.661, 'hr_prob': 0.11, 'pa_season': 47, 'avg': 0.25, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Josh Bell', 'side': 'away', 'team': 'MIN', 'pos': 3, 'hit_prob': 0.66, 'hr_prob': 0.09, 'pa_season': 88, 'avg': 0.262, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.829,0.721,1.741
PHI @ CHC,CHC,PHI,SHOTA IMANAGA,JESÚS LUZARDO,NORMAL,NORMAL,0.2706,0.2979,67.2,0.395,0.327,0.368,0.503,0.3,0.7,4.5,3.9,2,6,2,5,8.37,8.28,-191,145,5.5,178,,,0.656,ML (away),0.439,0.497,0.408,145.0,0.0312,,False,0.089,-1.5,,,,0.5082,0.57374,0.338122,False,False,False,0.4099,0.4099,0.6341,0.2242,0.0199,True,0.0199,True,,,,0.4918,0.42626,0.661878,False,False,False,,,,0.6025,0.694177,0.616576,False,False,,,,OVER,5.5,0.6947,0.482168,0.485625,False,False,0.6947,0.482168,0.517832,0.485625,0.514375,5,11,5.55,11.14,5.6,2.5,,0.5715,,-154.0,120.0,,,,,,,,,,,,,AWAY +1.5 *,OVER 5.5,True,7:40 pm ET,106.3,99.3,2.39,2.0,4.39,0.4766,0.3314,0.2897,0.4152,0.3802,0.3301,0.471,0.398,6.33,6.21,0.8434,0.7216,0.583,0.4425,0.8302,0.706,0.5631,0.4222,-0.0049,1,3,1,3,3,6,"[{'player': 'Nico Hoerner', 'side': 'home', 'team': 'CHC', 'pos': 1, 'hit_prob': 0.766, 'hr_prob': 0.087, 'pa_season': 101, 'avg': 0.304, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Carson Kelly', 'side': 'home', 'team': 'CHC', 'pos': 5, 'hit_prob': 0.725, 'hr_prob': 0.092, 'pa_season': 64, 'avg': 0.328, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Bryce Harper', 'side': 'away', 'team': 'PHI', 'pos': 3, 'hit_prob': 0.702, 'hr_prob': 0.126, 'pa_season': 92, 'avg': 0.28, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Trea Turner', 'side': 'away', 'team': 'PHI', 'pos': 1, 'hit_prob': 0.671, 'hr_prob': 0.119, 'pa_season': 97, 'avg': 0.241, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.731,0.606,0.778
PIT @ TEX,TEX,PIT,KUMAR ROCKER,CARMEN MLODZINSKI,NORMAL,NORMAL,0.3396,0.3134,65.8,0.358,0.348,0.354,0.457,0.269,0.731,4.6,4.8,2,6,2,7,9.41,9.6,,,,,,,,,0.354,0.354,,,0.0,,False,0.0,-1.5,,,,0.4982,,,False,False,False,0.4514,0.2562,0.5958,0.3396,0.0107,True,0.0111,True,,,,0.5018,,,False,False,False,,,,0.4567,,,False,False,,,,OVER,,,,,False,False,,,,,,6,12,7.94,12.06,4.12,,,,,,,,,,,,,,,,,,,AWAY +1.5 *,,True,8:05 pm ET,99.5,99.8,2.6,2.93,5.53,0.3577,0.4688,0.2106,0.33,0.4054,0.445,0.521,0.589,4.2,4.43,0.5809,0.4034,0.2561,0.1506,0.6253,0.4474,0.294,0.1798,-0.0083,1,4,2,4,4,7,"[{'player': 'Brandon Nimmo', 'side': 'home', 'team': 'TEX', 'pos': 1, 'hit_prob': 0.728, 'hr_prob': 0.099, 'pa_season': 101, 'avg': 0.274, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Josh Jung', 'side': 'home', 'team': 'TEX', 'pos': 6, 'hit_prob': 0.702, 'hr_prob': 0.083, 'pa_season': 76, 'avg': 0.318, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Ezequiel Duran', 'side': 'home', 'team': 'TEX', 'pos': 2, 'hit_prob': 0.692, 'hr_prob': 0.107, 'pa_season': 49, 'avg': 0.262, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': ""Ryan O'Hearn"", 'side': 'away', 'team': 'PIT', 'pos': 2, 'hit_prob': 0.677, 'hr_prob': 0.099, 'pa_season': 84, 'avg': 0.306, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}, {'player': 'Wyatt Langford', 'side': 'home', 'team': 'TEX', 'pos': 2, 'hit_prob': 0.676, 'hr_prob': 0.095, 'pa_season': 82, 'avg': 0.252, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.519,0.53,-0.088
