game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,rl_home_line,lock_tier,lock_dollars,lock_edge,lock_p_model,lock_p_true,lock_retail_implied,lock_sanity_pass,lock_odds_floor_pass,lock_edge_pass,xgb_rl_raw,ensemble_min,ensemble_max,model_spread,p_std,variance_gate,p_std_away,variance_gate_away,away_lock_tier,away_lock_dollars,away_lock_edge,away_lock_p_model,away_lock_p_true,away_lock_retail_implied,away_lock_sanity_pass,away_lock_odds_floor_pass,away_lock_edge_pass,ml_lock_tier,ml_lock_dollars,ml_lock_edge,ml_lock_p_model,ml_lock_p_true,ml_lock_retail_implied,ml_lock_sanity_pass,ml_lock_edge_pass,ou_lock_tier,ou_lock_dollars,ou_lock_edge,ou_direction,ou_posted_line,ou_p_model,ou_p_true,ou_p_retail,ou_lock_sanity_pass,ou_lock_edge_pass,mc_over_prob,p_true_over,p_true_under,retail_implied_over,retail_implied_under,mc_total_lo,mc_total_hi,total_floor_10th,total_ceiling_90th,total_variance_spread,home_k_line,home_k_model_over,home_k_implied_over,home_k_edge,home_k_over_odds,home_k_under_odds,away_k_line,away_k_model_over,away_k_implied_over,away_k_edge,away_k_over_odds,away_k_under_odds,pp_home_k_line,pp_home_k_model,pp_home_k_edge,pp_away_k_line,pp_away_k_model,pp_away_k_edge,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_away_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65,ump_k_above_avg,mc_f5_home_runs_lo,mc_f5_home_runs_hi,mc_f5_away_runs_lo,mc_f5_away_runs_hi,mc_f5_total_lo,mc_f5_total_hi,batter_props,f5_xgb_l1,f5_stacker_l2,f5_team_log_odds
ATL @ WSH,WSH,ATL,ZACK LITTELL,DIDIER FUENTES,NORMAL,NORMAL,0.3802,0.2859,72.8,0.24,0.247,0.243,0.315,0.176,0.824,4.6,6.6,2,6,3,9,11.22,10.93,129,-156,9.0,-131,,,0.437,RL +1.5 (home),0.757,0.757,0.567,-131.0,0.1901,*,True,0.19,1.5,1.0,18.49,0.0407,0.5831,0.544024,0.542384,True,True,True,0.3241,0.2507,0.3521,0.1014,0.0167,True,0.0163,True,,,-0.0407,0.5831,0.455976,0.457616,True,True,False,,,-0.0236,0.3939,0.426322,0.417455,True,False,,,,OVER,9.0,0.557,0.5,0.49567,False,False,0.557,0.5,0.5,0.49567,0.50433,7,14,6.96,13.7,6.74,3.5,0.4032,0.4606,-0.0574,-104.0,-128.0,4.5,0.1853,0.4615,-0.2762,104.0,-138.0,,,,4.0,0.1853,-0.3147,AWAY +1.5 **,OVER 9.0,False,6:45 pm ET,,,2.5,3.87,6.37,0.2246,0.6323,0.1213,0.2796,0.3898,0.5418,0.492,0.783,3.25,2.94,0.4032,0.2371,0.126,0.0629,0.3417,0.1853,0.0917,0.0395,0.0,1,3,2,5,5,8,[],0.712,0.724,1.82
BAL @ KC,KC,BAL,MICHAEL WACHA,CHRIS BASSITT,NORMAL,NORMAL,0.3085,0.3586,72.3,0.38,0.265,0.334,0.469,0.302,0.698,5.4,5.1,2,7,2,7,10.52,10.04,-136,113,9.5,149,,,0.576,RL +1.5 (away),0.666,0.666,0.563,-129.0,0.1031,*,True,0.103,-1.5,2.0,1.78,0.0218,0.4059,0.382273,0.384042,True,True,True,0.3451,0.3451,0.5478,0.2027,0.0218,True,0.0214,True,,,-0.0218,0.5941,0.617727,0.615958,True,True,False,,,-0.0124,0.5387,0.550331,0.551058,True,False,,,0.0088,OVER,9.5,0.5045,0.49771,0.49567,True,False,0.5045,0.49771,0.50229,0.49567,0.50433,6,14,6.33,12.29,5.96,4.5,0.5654,0.5651,0.0003,-154.0,121.0,3.5,0.3733,0.5182,-0.1449,-118.0,-112.0,5.0,0.4109,-0.0891,3.5,0.3733,-0.1267,AWAY +1.5 **,,False,2:10 pm ET,89.9,,3.32,2.53,5.85,0.5425,0.2922,0.3747,0.3096,0.4849,0.3989,0.662,0.51,5.16,3.11,0.7254,0.5654,0.4109,0.2765,0.3733,0.2123,0.1098,0.0505,-0.0035,2,4,1,3,4,7,"[{'player': 'Bobby Witt Jr.', 'side': 'home', 'team': 'KC', 'pos': 2, 'hit_prob': 0.67, 'hr_prob': 0.096, 'pa_season': 100, 'avg': 0.305, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': 0.5, 'pp_hr_edge': -0.4036}, {'player': 'Maikel Garcia', 'side': 'home', 'team': 'KC', 'pos': 1, 'hit_prob': 0.654, 'hr_prob': 0.1, 'pa_season': 102, 'avg': 0.281, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': 0.5, 'pp_hr_edge': -0.4001}]",0.778,0.662,0.731
PHI @ CHC,CHC,PHI,MATTHEW BOYD,KYLE BACKHUS,NORMAL,NORMAL,0.3131,0.3274,47.9,0.473,0.334,0.417,0.579,0.372,0.628,5.3,3.8,3,7,2,5,9.04,8.71,-175,144,8.0,123,,,0.636,RL +1.5 (away),0.583,0.583,0.507,-103.0,0.0755,,True,0.076,-1.5,,,,0.4828,0.4242,0.428372,False,False,False,0.4186,0.4163,0.5136,0.0973,0.0155,True,0.0155,True,,,,0.5172,0.5758,0.571628,False,False,False,,,0.0079,0.6162,0.603175,0.608262,True,False,2.0,0.0,0.0201,UNDER,8.0,0.4799,0.50229,0.5,True,True,0.4799,0.49771,0.50229,0.5,0.5,6,12,5.65,11.19,5.54,5.5,0.4658,0.4333,0.0325,116.0,-154.0,,,,,,,5.0,0.4658,-0.0342,,,,,,False,7:40 pm ET,,,2.9,2.16,5.06,0.5426,0.2856,0.3568,0.3625,0.4406,0.3521,0.578,0.434,5.54,4.31,0.7668,0.6188,0.4658,0.3281,0.6013,0.4275,0.277,0.1655,0.0,2,4,1,3,3,6,[],0.595,0.619,0.177
TOR @ LAA,LAA,TOR,JOSÉ SORIANO,ERIC LAUER,NORMAL,NORMAL,0.2972,0.3549,69.1,0.455,0.254,0.374,0.553,0.363,0.637,5.4,4.2,3,7,2,6,9.6,9.29,-149,123,8.0,139,,,0.598,RL +1.5 (away),0.626,0.626,0.543,-119.0,0.0823,*,True,0.083,-1.5,,,-0.001,0.3993,0.403492,0.400287,True,True,False,0.3207,0.3207,0.5296,0.2089,0.0168,True,0.0172,True,,,0.001,0.6007,0.596508,0.599713,True,True,False,2.0,0.0,0.0108,0.5824,0.578962,0.571628,True,True,,,0.0043,OVER,8.0,0.5151,0.511462,0.510834,True,False,0.5151,0.511462,0.488538,0.510834,0.489166,6,12,6.18,11.88,5.71,,,,,,,4.5,0.3328,0.5232,-0.1904,-118.0,-112.0,5.5,0.6252,0.1252,4.5,0.3328,-0.1672,AWAY +1.5 *,OVER 8.0,False,3:07 pm ET,,,3.21,2.19,5.39,0.5865,0.2526,0.4074,0.3393,0.4732,0.356,0.642,0.441,6.67,3.78,0.865,0.7544,0.6252,0.4858,0.5073,0.3328,0.1968,0.1065,0.0,2,4,1,3,4,7,[],0.737,0.631,0.441
MIN @ NYM,NYM,MIN,CLAY HOLMES,CONNOR PRIELIPP,NORMAL,NORMAL,0.3077,0.3274,55.2,0.296,0.363,0.323,0.397,0.212,0.788,4.0,4.5,2,5,2,6,8.53,8.49,-163,135,7.5,135,,,0.62,RL +1.5 (away),0.677,0.677,0.535,-115.0,0.1425,*,True,0.142,-1.5,,,,0.4718,0.406091,0.407089,False,False,False,0.4746,0.3472,0.5015,0.1543,0.0094,True,0.0096,True,,,,0.5282,0.593909,0.592911,False,False,False,,,,0.5418,0.589796,0.592911,False,False,,,0.0061,OVER,7.5,0.5235,0.509166,0.517364,True,False,0.5235,0.509166,0.490834,0.517364,0.482636,5,11,6.35,11.47,5.12,4.5,0.3958,0.4973,-0.1015,-118.0,-112.0,,,,,,,4.5,0.3958,-0.1042,,,,AWAY +1.5 **,OVER 7.5,False,7:10 pm ET,,,2.24,2.5,4.74,0.3601,0.4506,0.2012,0.3871,0.3611,0.3942,0.444,0.499,4.15,4.22,0.5763,0.3958,0.2504,0.1444,0.5868,0.4071,0.2582,0.1527,0.0,1,3,1,3,3,6,[],0.798,0.664,0.824
MIL @ DET,DET,MIL,CASEY MIZE,CHAD PATRICK,NORMAL,NORMAL,0.2873,0.289,64.0,0.304,0.242,0.279,0.401,0.22,0.78,4.3,4.9,2,6,2,7,9.15,9.4,-136,113,8.0,159,,,0.576,RL +1.5 (away),0.721,0.721,0.582,-139.0,0.1393,*,True,0.139,-1.5,,,,0.4244,0.370731,0.369133,False,False,False,0.3053,0.3053,0.5035,0.1982,0.0138,True,0.0135,True,,,,0.5756,0.629269,0.630867,False,False,False,,,-0.0361,0.515,0.552306,0.551058,True,False,,,0.0038,OVER,8.0,0.4864,0.488538,0.482636,True,False,0.4864,0.488538,0.511462,0.482636,0.517364,6,12,6.5,13.2,6.71,4.5,0.475,0.5646,-0.0896,-158.0,118.0,4.5,0.2311,0.4402,-0.2091,118.0,-158.0,5.0,0.3202,-0.1798,4.0,0.2311,-0.2689,AWAY +1.5 **,OVER 8.0,False,6:40 pm ET,,,2.22,2.44,4.66,0.3657,0.4452,0.2065,0.3944,0.357,0.3867,0.437,0.488,4.61,3.22,0.6462,0.475,0.3202,0.2025,0.3962,0.2311,0.1217,0.0575,0.0,1,3,1,3,3,6,[],0.681,0.632,0.974
STL @ MIA,MIA,STL,JANSON JUNK,KYLE LEAHY,NORMAL,VOLATILE,0.3265,0.3688,74.5,0.424,0.349,0.394,0.518,0.339,0.661,5.6,4.6,3,8,2,6,10.22,9.75,-143,119,8.0,144,,,0.588,RL +1.5 (away),0.606,0.606,0.554,-124.0,0.0524,,True,0.052,-1.5,,,,0.4616,0.395126,0.391738,False,False,False,0.4559,0.3548,0.4559,0.1011,0.0162,True,0.0164,True,,,,0.5384,0.604874,0.608262,False,False,False,,,0.0009,0.564,0.562709,0.563083,True,False,,,,OVER,8.0,0.5634,0.50458,0.510834,False,False,0.5634,0.50458,0.49542,0.510834,0.489166,6,13,6.36,12.34,5.98,3.5,0.3927,0.5738,-0.1811,-154.0,116.0,3.5,0.362,0.4863,-0.1243,-114.0,-114.0,4.0,0.2276,-0.2724,3.5,0.362,-0.138,AWAY +1.5 *,OVER 8.0,True,12:10 pm ET,102.3,90.7,3.32,2.68,6.0,0.5184,0.3177,0.3534,0.3003,0.4851,0.4168,0.665,0.539,3.17,3.05,0.3927,0.2276,0.1152,0.0538,0.362,0.2024,0.1013,0.0469,-0.0298,2,4,1,4,4,8,"[{'player': 'Xavier Edwards', 'side': 'home', 'team': 'MIA', 'pos': 2, 'hit_prob': 0.654, 'hr_prob': 0.077, 'pa_season': 98, 'avg': 0.293, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': None, 'pp_hr_edge': None}]",0.688,0.617,0.129
CIN @ TB,TB,CIN,NICK MARTINEZ,BRANDON WILLIAMSON,NORMAL,UNKNOWN,0.3197,0.4014,77.1,0.401,0.204,0.322,0.49,0.322,0.678,5.6,5.2,3,8,2,7,10.77,10.11,-143,119,8.5,144,,,0.588,RL +1.5 (away),0.678,0.678,0.554,-124.0,0.124,*,True,0.124,-1.5,,,-0.0368,0.3549,0.383704,0.391738,True,True,False,0.2443,0.2443,0.484,0.2397,0.0292,True,0.0292,True,1.0,50.0,0.0368,0.6451,0.616296,0.608262,True,True,True,,,-0.0089,0.5542,0.562709,0.563083,True,False,,,,OVER,8.5,0.5996,0.490834,0.49567,False,False,0.5996,0.490834,0.509166,0.49567,0.50433,7,14,6.19,12.45,6.26,4.5,0.3387,0.4502,-0.1115,118.0,-158.0,3.5,0.5761,0.4602,0.1159,102.0,-136.0,4.0,0.3387,-0.1613,3.5,0.5761,0.0761,AWAY +1.5 **,OVER 8.5,True,1:10 pm ET,101.8,98.7,3.78,2.66,6.45,0.5949,0.2578,0.4348,0.2751,0.5307,0.4139,0.756,0.532,3.81,4.16,0.5166,0.3387,0.2003,0.1096,0.5761,0.3986,0.2528,0.1478,0.003,2,5,1,4,5,8,"[{'player': 'Yandy Díaz', 'side': 'home', 'team': 'TB', 'pos': 1, 'hit_prob': 0.665, 'hr_prob': 0.116, 'pa_season': 100, 'avg': 0.286, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': 0.5, 'pp_hr_edge': -0.3839}]",0.742,0.548,-0.043
HOU @ CLE,CLE,HOU,TANNER BIBEE,PETER LAMBERT,NORMAL,UNKNOWN,0.3352,0.3321,57.7,0.376,0.368,0.373,0.469,0.293,0.707,5.3,5.2,3,7,3,7,10.54,9.8,-156,129,8.0,139,,,0.609,RL +1.5 (away),0.627,0.627,0.543,-119.0,0.0839,*,True,0.084,-1.5,,,,0.4961,0.399754,0.400287,False,False,False,0.4547,0.3397,0.6288,0.2891,0.016,True,0.0162,True,,,,0.5039,0.600246,0.599713,False,False,False,,,-0.0223,0.5602,0.585811,0.582545,True,False,,,,OVER,8.0,0.5928,0.513761,0.510834,False,False,0.5928,0.513761,0.486239,0.510834,0.489166,7,13,6.5,11.93,5.43,4.5,0.3497,0.5735,-0.2238,-158.0,118.0,3.5,0.6292,0.5188,0.1104,-136.0,102.0,5.0,0.21,-0.29,3.5,0.6292,0.1292,AWAY +1.5 *,OVER 8.0,True,1:10 pm ET,95.6,116.6,2.81,2.87,5.68,0.401,0.4248,0.2496,0.3199,0.43,0.4388,0.563,0.577,3.89,4.49,0.5262,0.3497,0.21,0.1173,0.6292,0.4564,0.3053,0.186,-0.0235,2,4,2,4,4,7,"[{'player': 'Yordan Alvarez', 'side': 'away', 'team': 'HOU', 'pos': 2, 'hit_prob': 0.75, 'hr_prob': 0.1, 'pa_season': 109, 'avg': 0.364, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': 0.5, 'pp_hr_edge': -0.3997}, {'player': 'Carlos Correa', 'side': 'away', 'team': 'HOU', 'pos': 1, 'hit_prob': 0.662, 'hr_prob': 0.103, 'pa_season': 92, 'avg': 0.286, 'hr_season': 0, 'pp_hit_line': None, 'pp_hit_edge': None, 'pp_hr_line': 0.5, 'pp_hr_edge': -0.3971}]",0.645,0.695,1.704
NYY @ BOS,BOS,NYY,RANGER SUAREZ,MAX FRIED,NORMAL,NORMAL,0.3041,0.2466,45.2,0.218,0.27,0.239,0.315,0.144,0.856,3.1,4.2,1,4,2,6,7.31,7.91,119,-143,7.5,-143,,,0.457,RL +1.5 (home),0.761,0.761,0.588,-143.0,0.1725,*,True,0.173,1.5,,,-0.0274,0.5357,0.574035,0.563083,True,True,False,0.3536,0.3116,0.3749,0.0633,0.0227,True,0.0223,True,2.0,7.19,0.0274,0.5357,0.425965,0.436917,True,True,True,,,,0.4072,0.449669,0.436917,False,False,,,,OVER,7.5,0.4138,0.506872,0.517364,False,False,0.4138,0.506872,0.493128,0.517364,0.482636,4,10,5.78,11.82,6.04,5.5,0.2032,0.4168,-0.2136,132.0,-178.0,5.5,0.3533,0.4767,-0.1234,108.0,-144.0,5.0,0.2032,-0.2968,5.5,0.3533,-0.1467,AWAY +1.5 **,,False,6:45 pm ET,,,1.4,2.34,3.74,0.2187,0.5881,0.0935,0.4725,0.245,0.3741,0.28,0.468,3.84,4.81,0.5201,0.3422,0.2032,0.1127,0.6773,0.5064,0.3533,0.2262,0.0,1,2,1,3,2,5,[],0.149,0.281,-3.039
