game,home_team,away_team,script,legs,home_sp,away_sp,close_total,home_k_line,home_k_matched,p_leg_k,p_leg_f5_under,p_leg_game_under,p_joint_copula,p_joint_indep,p_book_sgp,sgp_edge,corr_lift,synergy_home,home_bp_gassed,home_avg_p4pa,home_n_high_sub_risk,adi_note,book_corr_tax,action,p_leg_home_score5,p_leg_game_over,p_leg_home_win,away_bp_gassed,away_k_line,away_k_matched,p_leg_both_sp_k,p_leg_close_game,synergy_away,away_avg_p4pa,away_n_high_sub_risk,script_d_gate,home_burn_5d,away_burn_5d,d_note
COL @ NYM,NYM,COL,A2_Dominance,Home_SP_K_F5>=4(FREDDY PERALTA) | F5_Under_4.3 | Game_Under_7.5,FREDDY PERALTA,MICHAEL LORENZEN,7.5,6.5,True,0.3858,0.5295,0.5092,0.1846,0.104,0.0884,1.0883,1.775,0.7,1.0,0.832,5,ADI=1.230 (dense/drag->under),0.15,PLAY,,,,,,,,,,,,,,,
LAA @ KC,KC,LAA,A2_Dominance,Home_SP_K_F5>=4(NOAH CAMERON) | F5_Under_4.9 | Game_Under_8.5,NOAH CAMERON,YUSEI KIKUCHI,8.5,4.5,True,0.3882,0.5295,0.5092,0.1857,0.1047,0.089,1.0869,1.774,0.73,1.0,0.832,5,ADI=1.154 (light/carry->over),0.15,PLAY,,,,,,,,,,,,,,,
BOS @ BAL,BAL,BOS,A2_Dominance,Home_SP_K_F5>=4(BRANDON YOUNG) | F5_Under_4.9 | Game_Under_8.5,BRANDON YOUNG,BRAYAN BELLO,8.5,3.5,True,0.5648,0.5057,0.4862,0.2454,0.1389,0.118,1.0785,1.767,1.05,0.0,0.832,5,ADI=1.192 (dense/drag->under),0.15,PLAY,,,,,,,,,,,,,,,
CLE @ TOR,TOR,CLE,A2_Dominance,Home_SP_K_F5>=4(MAX SCHERZER) | F5_Under_4.6 | Game_Under_8.0,MAX SCHERZER,GAVIN WILLIAMS,8.0,3.5,True,0.5954,0.4976,0.4784,0.2504,0.1417,0.1205,1.0782,1.766,1.05,0.0,0.832,5,ADI=1.245 (dense/drag->under),0.15,PLAY,,,,,,,,,,,,,,,
PHI @ ATL,ATL,PHI,A2_Dominance,Home_SP_K_F5>=4(GRANT HOLMES) | F5_Under_5.1 | Game_Under_9.0,GRANT HOLMES,ANDREW PAINTER,9.0,4.5,True,0.5889,0.5271,0.5069,0.2662,0.1573,0.1337,0.99,1.692,1.05,0.0,0.832,5,ADI=1.133 (light/carry->over),0.15,PLAY,,,,,,,,,,,,,,,
DET @ CIN,CIN,DET,C_EliteDuel,Game_Under_9.0 | Both_SP_K_F5>=3(ANDREW ABBOTT/FRAMBER VALDEZ) | DET_RL+1.5,ANDREW ABBOTT,FRAMBER VALDEZ,9.0,4.5,True,,,0.4762,0.0558,0.0404,0.0343,0.6267,1.383,0.7,0.0,0.832,5,ADI=1.138 (light/carry->over),0.15,PLAY,,,,,5.5,True,0.2001,0.4237,1.0,0.832,5.0,,,,
PIT @ MIL,MIL,PIT,C_EliteDuel,Game_Under_7.0 | Both_SP_K_F5>=3(BRANDON WOODRUFF/PAUL SKENES) | PIT_RL+1.5,BRANDON WOODRUFF,PAUL SKENES,7.0,6.5,True,,,0.4954,0.0639,0.0473,0.0402,0.5867,1.349,1.0,0.0,0.84,5,ADI=1.170 (light/carry->over),0.15,PLAY,,,,,6.5,True,0.2332,0.4098,1.0,0.84,5.0,,,,
COL @ NYM,NYM,COL,C_EliteDuel,Game_Under_7.5 | Both_SP_K_F5>=3(FREDDY PERALTA/MICHAEL LORENZEN) | COL_RL+1.5,FREDDY PERALTA,MICHAEL LORENZEN,7.5,6.5,True,,,0.5092,0.0695,0.0518,0.044,0.5782,1.341,0.7,1.0,0.832,5,ADI=1.230 (dense/drag->under),0.15,PLAY,,,,,4.5,True,0.1865,0.5455,1.0,0.832,5.0,,,,
CLE @ TOR,TOR,CLE,C_EliteDuel,Game_Under_8.0 | Both_SP_K_F5>=3(MAX SCHERZER/GAVIN WILLIAMS) | CLE_RL+1.5,MAX SCHERZER,GAVIN WILLIAMS,8.0,3.5,True,,,0.4784,0.0819,0.0617,0.0525,0.5607,1.327,1.05,0.0,0.832,5,ADI=1.245 (dense/drag->under),0.15,PLAY,,,,,5.5,True,0.3057,0.4219,1.0,0.832,5.0,,,,
MIN @ TB,TB,MIN,C_EliteDuel,Game_Under_7.5 | Both_SP_K_F5>=3(DREW RASMUSSEN/TAJ BRADLEY) | MIN_RL+1.5,DREW RASMUSSEN,TAJ BRADLEY,7.5,4.5,True,,,0.4862,0.0819,0.0625,0.0531,0.5413,1.31,0.7,1.0,0.832,5,ADI=1.174 (light/carry->over),0.15,PLAY,,,,,5.5,True,0.1973,0.6516,1.0,0.832,5.0,,,,
LAA @ KC,KC,LAA,C_EliteDuel,Game_Under_8.5 | Both_SP_K_F5>=3(NOAH CAMERON/YUSEI KIKUCHI) | LAA_RL+1.5,NOAH CAMERON,YUSEI KIKUCHI,8.5,4.5,True,,,0.5092,0.111,0.0876,0.0745,0.4901,1.267,0.73,1.0,0.832,5,ADI=1.154 (light/carry->over),0.15,PLAY,,,,,4.5,True,0.2517,0.6835,1.0,0.84,5.0,,,,
BOS @ BAL,BAL,BOS,C_EliteDuel,Game_Under_8.5 | Both_SP_K_F5>=3(BRANDON YOUNG/BRAYAN BELLO) | BOS_RL+1.5,BRANDON YOUNG,BRAYAN BELLO,8.5,3.5,True,,,0.4862,0.1196,0.0947,0.0805,0.4855,1.263,1.05,0.0,0.832,5,ADI=1.192 (dense/drag->under),0.15,PLAY,,,,,4.5,True,0.2953,0.6599,1.0,0.832,5.0,,,,
PHI @ ATL,ATL,PHI,C_EliteDuel,Game_Under_9.0 | Both_SP_K_F5>=3(GRANT HOLMES/ANDREW PAINTER) | PHI_RL+1.5,GRANT HOLMES,ANDREW PAINTER,9.0,4.5,True,,,0.5069,0.1435,0.1154,0.0981,0.4624,1.243,1.05,0.0,0.832,5,ADI=1.133 (light/carry->over),0.15,PLAY,,,,,3.5,True,0.3692,0.6169,1.0,0.832,5.0,,,,
DET @ CIN,CIN,DET,D_LateDivergence,F5_Under_5.1 | Game_Over_9.0,ANDREW ABBOTT,FRAMBER VALDEZ,9.0,,True,,0.4953,,0.2753,0.2594,0.2205,0.2486,1.061,0.7,0.0,0.832,5,ADI=1.138 (light/carry->over),0.15,PLAY,,0.5238,,1.0,,,,,,0.832,5.0,True,0.0,449.0,bp5d_home=0 away=449 | whiff_home=0.82 away=0.60
CHC @ LAD,LAD,CHC,D_LateDivergence,F5_Under_nan | Game_Over_nan,EMMET SHEEHAN,JAMESON TAILLON,,,True,,0.52,,0.2759,0.26,0.221,0.2485,1.061,1.0,0.0,0.84,5,ADI=1.185 (dense/drag->under),0.15,PLAY,,0.5,,1.0,,,,,,0.84,5.0,True,0.0,685.0,bp5d_home=0 away=685 | whiff_home=0.74 away=0.86
COL @ NYM,NYM,COL,D_LateDivergence,F5_Under_4.3 | Game_Over_7.5,FREDDY PERALTA,MICHAEL LORENZEN,7.5,,True,,0.5295,,0.2758,0.2599,0.2209,0.2484,1.061,0.7,1.0,0.832,5,ADI=1.230 (dense/drag->under),0.15,PLAY,,0.4908,,1.0,,,,,,0.832,5.0,True,405.0,709.0,bp5d_home=405 away=709 | whiff_home=0.83 away=0.42
