rank,game_label,starter_name,sp_team,_side,close_total,temp_f,p_k_over,p_joint_model,p_joint_indep,corr_edge,narrative,legs,edge_note,book_odds,book_odds_note
1,DET @ CIN,BRADY SINGER,CIN,home,8.0,72.5,0.48024267,0.32784227,0.21390008503198624,0.1139421803355217,Script A — The Dominance: BRADY SINGER K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.114 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
2,PIT @ MIL,MITCH KELLER,PIT,away,7.5,49.0,0.39753857,0.2839238,0.17706368021368982,0.10686012454628943,Script A — The Dominance: MITCH KELLER K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.107 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
3,CHC @ LAD,ROKI SASAKI,LAD,home,7.5,58.9,0.38810426,0.2751912,0.1728616373896599,0.10232955046892164,Script A — The Dominance: ROKI SASAKI K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.102 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
4,MIA @ SF,EURY PÉREZ,MIA,away,7.5,53.6,0.3989202,0.25591403,0.1776790607392788,0.07823497171998023,Script A — The Dominance: EURY PÉREZ K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.078 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
5,CLE @ TOR,JOEY CANTILLO,CLE,away,8.0,41.8,0.38312396,0.2471032,0.17064341359734536,0.07645978576540946,Script A — The Dominance: JOEY CANTILLO K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.076 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
6,BOS @ BAL,GARRETT CROCHET,BOS,away,8.5,61.3,0.42330918,0.2643575,0.18854190750718117,0.07581559972167015,Script A — The Dominance: GARRETT CROCHET K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.076 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
7,PHI @ ATL,BRYCE ELDER,ATL,home,7.5,68.2,0.38242707,0.24439876,0.170333015447855,0.07406574236750602,Script A — The Dominance: BRYCE ELDER K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.074 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
8,CLE @ TOR,KEVIN GAUSMAN,TOR,home,8.0,41.8,0.35862663,0.233032,0.15973230273127556,0.07329970031380653,Script A — The Dominance: KEVIN GAUSMAN K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.073 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
9,MIA @ SF,ROBBIE RAY,SF,home,7.5,53.6,0.38642314,0.24493276,0.1721128668963909,0.07281988893151284,Script A — The Dominance: ROBBIE RAY K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.073 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
10,SD @ AZ,GERMÁN MÁRQUEZ,SD,away,8.5,,0.31506583,0.21134914,0.14033032110333443,0.07101882347464561,Script A — The Dominance: GERMÁN MÁRQUEZ K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.071 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
11,ATH @ TEX,JEFFREY SPRINGS,ATH,away,7.5,88.9,0.3553053,0.22753537,0.15825298688411712,0.0692823801279068,Script A — The Dominance: JEFFREY SPRINGS K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.069 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
12,WSH @ CWS,NOAH SCHULTZ,CWS,home,8.0,47.9,0.39408165,0.24175522,0.17552396787405014,0.06623124943971634,Script A — The Dominance: NOAH SCHULTZ K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.066 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
13,SD @ AZ,ZAC GALLEN,AZ,home,8.5,,0.32176837,0.20785387,0.14331563344597817,0.06453823515772819,Script A — The Dominance: ZAC GALLEN K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.065 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
14,WSH @ CWS,JAKE IRVIN,WSH,away,8.0,47.9,0.38940206,0.22975624,0.17343967828154563,0.05631655779480935,Script A — The Dominance: JAKE IRVIN K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.056 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
15,ATH @ TEX,MACKENZIE GORE,TEX,home,7.5,88.9,0.5001495,0.2771978,0.22276658215522768,0.054431225872039773,Script A — The Dominance: MACKENZIE GORE K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.054 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
16,SEA @ STL,MATTHEW LIBERATORE,STL,home,8.5,72.5,0.30140823,0.18593177,0.13424722620248794,0.051684545791149145,Script A — The Dominance: MATTHEW LIBERATORE K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.052 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
17,PIT @ MIL,JACOB MISIOROWSKI,MIL,home,7.5,49.0,0.41458827,0.22354685,0.18465761660337449,0.03888923109769821,Script A — The Dominance: JACOB MISIOROWSKI K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.039 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
18,BOS @ BAL,TREVOR ROGERS,BAL,home,8.5,61.3,0.47780955,0.25119475,0.21281637284755708,0.038378372454643234,Script A — The Dominance: TREVOR ROGERS K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.038 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
19,SEA @ STL,BRYAN WOO,SEA,away,8.5,72.5,0.35155994,0.19114162,0.15658479593992233,0.034556824338436126,Script A — The Dominance: BRYAN WOO K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.035 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
20,COL @ NYM,JOSE QUINTANA,COL,away,8.5,44.8,0.3950749,0.20535266,0.17596636222600937,0.029386301767826084,Script A — The Dominance: JOSE QUINTANA K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.029 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
21,DET @ CIN,JACK FLAHERTY,DET,away,8.0,72.5,0.55947876,0.27480033,0.2491918395996094,0.02560849080085753,Script A — The Dominance: JACK FLAHERTY K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.026 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
22,CHC @ LAD,COLIN REA,CHC,away,7.5,58.9,0.5212874,0.25509548,0.23218139978647234,0.02291408208608625,Script A — The Dominance: COLIN REA K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.023 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
23,PHI @ ATL,ZACK WHEELER,PHI,away,7.5,68.2,0.45833257,0.22442226,0.20414132596850396,0.0202809351503849,Script A — The Dominance: ZACK WHEELER K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.020 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
