game,home_team,away_team,script,legs,home_sp,away_sp,close_total,home_k_line,home_k_matched,p_leg_k,p_leg_f5_under,p_leg_game_under,p_joint_copula,p_joint_indep,p_book_sgp,sgp_edge,corr_lift,synergy_home,home_bp_gassed,home_avg_p4pa,home_n_high_sub_risk,adi_note,book_corr_tax,action,p_leg_home_score5,p_leg_game_over,p_leg_home_win,away_bp_gassed,away_k_line,away_k_matched,p_leg_both_sp_k,p_leg_close_game,synergy_away,away_avg_p4pa,away_n_high_sub_risk,script_d_gate,home_burn_5d,away_burn_5d,d_note
SEA @ STL,STL,SEA,B_Explosion,Home_Score>=5 | Game_Over_7.5 | STL_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],MATTHEW LIBERATORE,BRYAN WOO,7.5,,True,,,,0.2186,0.0685,0.0582,2.7569,3.193,1.0,,0.84,5,ADI=1.167 (light/carry->over),0.15,PLAY,0.3343,0.4852,0.4221,1.0,,,,,,,,,,,
NYY @ HOU,HOU,NYY,B_Explosion,Home_Score>=5 | Game_Over_9.0 | HOU_ML_Win [lineup_integrity=0.99 n_high=5],MIKE BURROWS,RYAN WEATHERS,9.0,,True,,,,0.2266,0.0748,0.0635,2.5664,3.031,0.7,,0.84,5,ADI=1.148 (light/carry->over),0.15,PLAY,0.3376,0.5193,0.4263,0.0,,,,,,,,,,,
DET @ CIN,CIN,DET,B_Explosion,Home_Score>=5 | Game_Over_9.5 | CIN_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],BRADY SINGER,JACK FLAHERTY,9.5,,True,,,,0.2592,0.0936,0.0795,2.2589,2.77,0.7,,0.84,5,ADI=1.162 (light/carry->over),0.15,PLAY,0.3904,0.4862,0.4929,1.0,,,,,,,,,,,
MIA @ SF,SF,MIA,B_Explosion,Home_Score>=5 | Game_Over_7.5 | SF_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],ROBBIE RAY,EURY PÉREZ,7.5,,True,,,,0.2769,0.106,0.0901,2.0731,2.612,1.0,,0.84,5,ADI=1.228 (dense/drag->under),0.15,PLAY,0.4116,0.4954,0.5198,1.0,,,,,,,,,,,
SD @ AZ,AZ,SD,B_Explosion,Home_Score>=5 | Game_Over_15.5 | AZ_ML_Win [lineup_integrity=0.99 n_high=5],ZAC GALLEN,GERMÁN MÁRQUEZ,15.5,,True,,,,0.2787,0.1074,0.0913,2.0521,2.594,1.0,,0.84,5,ADI=nan (light/carry->over),0.15,PLAY,0.4144,0.4954,0.5232,0.0,,,,,,,,,,,
BOS @ BAL,BAL,BOS,B_Explosion,Home_Score>=5 | Game_Over_7.0 | BAL_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],TREVOR ROGERS,GARRETT CROCHET,7.0,,True,,,,0.2851,0.1129,0.096,1.9704,2.525,1.0,,0.84,5,ADI=1.212 (dense/drag->under),0.15,PLAY,0.409,0.5346,0.5164,1.0,,,,,,,,,,,
PHI @ ATL,ATL,PHI,B_Explosion,Home_Score>=5 | Game_Over_8.5 | ATL_ML_Win [lineup_integrity=0.99 n_high=5],BRYCE ELDER,ZACK WHEELER,8.5,,True,,,,0.2912,0.1172,0.0997,1.9218,2.484,1.0,,0.84,5,ADI=1.145 (light/carry->over),0.15,PLAY,0.4228,0.5193,0.5339,0.0,,,,,,,,,,,
ATH @ TEX,TEX,ATH,B_Explosion,Home_Score>=5 | Game_Over_8.0 | TEX_ML_Win [lineup_integrity=0.99 n_high=5],MACKENZIE GORE,JEFFREY SPRINGS,8.0,,True,,,,0.2943,0.1196,0.1017,1.8945,2.46,0.7,,0.84,5,ADI=1.114 (light/carry->over),0.15,PLAY,0.4304,0.5115,0.5434,0.0,,,,,,,,,,,
MIN @ TB,TB,MIN,B_Explosion,Home_Score>=5 | Game_Over_8.5 | TB_ML_Win [lineup_integrity=0.99 n_high=5],SHANE MCCLANAHAN,BAILEY OBER,8.5,,True,,,,0.2961,0.1211,0.1029,1.8763,2.445,0.7,,0.84,5,ADI=1.160 (light/carry->over),0.15,PLAY,0.442,0.4908,0.5581,0.0,,,,,,,,,,,
WSH @ CWS,CWS,WSH,B_Explosion,Home_Score>=5 | Game_Over_8.5 | CWS_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],NOAH SCHULTZ,JAKE IRVIN,8.5,,True,,,,0.2961,0.1211,0.1029,1.8763,2.445,0.7,,0.84,5,ADI=1.223 (dense/drag->under),0.15,PLAY,0.442,0.4908,0.5581,1.0,,,,,,,,,,,
