rank,game_label,script,legs,sp_name,sp_side,p_joint_model,p_joint_indep,p_joint_market,sgp_edge,leg_probs,close_total,f5_est,sp_k_line,physics_note,action
13,CLE @ TOR,C Elite Duel,Game_Under_8.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),MAX SCHERZER vs TAJ BRADLEY,both,0.1115,0.034,0.0289,2.855,game_under=0.500 home_k=0.593 away_k=0.459 close=0.250,8.0,4.48,3.5/5.5,Park=Rogers Centre alt=300ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.65 LHB pull=-0.65 (headwind) | temp=72.0F,PLAY
14,COL @ NYM,C Elite Duel,Game_Under_7.5 | Both_SP_F5_K>=3 | Close_Game(+1.5),FREDDY PERALTA vs AARON CIVALE,both,0.0984,0.0332,0.0282,2.4873,game_under=0.500 home_k=0.590 away_k=0.450 close=0.250,7.5,4.2,6.5/None,Park=Citi Field alt=37ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.70 LHB pull=-0.49 (headwind) | temp=72.0F,PLAY
15,CHC @ LAD,C Elite Duel,Game_Under_9.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),SHOHEI OHTANI vs CLAY HOLMES,both,0.0965,0.0332,0.0282,2.4196,game_under=0.500 home_k=0.450 away_k=0.590 close=0.250,9.0,5.04,None/4.5,Park=Dodger Stadium alt=512ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.65 LHB pull=-0.65 (headwind) | temp=72.0F,PLAY
16,CHC @ LAD,B Explosion,Home_Score>=5 | Game_Over_9.0 | Home_ML_Win,CLAY HOLMES,away,0.3035,0.1048,0.089,2.4088,home_score_5+=0.400 game_over=0.500 ml_win=0.524,9.0,5.04,4.5,Park=Dodger Stadium alt=512ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.65 LHB pull=-0.65 (headwind) | temp=72.0F,PLAY
17,BOS @ BAL,A2 Dominance,SP_F5_K>=4 | F5_Under_5.0 | Game_Under_9.0,KYLE BRADISH,home,0.3375,0.117,0.0994,2.3933,K_over=0.450 F5_under=0.520 game_under=0.500,9.0,5.04,,Park=Camden Yards alt=36ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.69 LHB pull=-0.43 (headwind) | temp=72.0F,PLAY
18,SEA @ STL,B Explosion,Home_Score>=5 | Game_Over_9.0 | Home_ML_Win,SLADE CECCONI,away,0.2959,0.1048,0.089,2.3232,home_score_5+=0.400 game_over=0.500 ml_win=0.524,9.0,5.04,,Park=Busch Stadium alt=465ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
19,PIT @ MIL,B Explosion,Home_Score>=5 | Game_Over_7.0 | Home_ML_Win,PATRICK CORBIN,away,0.265,0.0939,0.0798,2.3201,home_score_5+=0.400 game_over=0.500 ml_win=0.469,7.0,3.92,,Park=American Family Field alt=635ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.61 LHB pull=-0.19 (headwind) | temp=72.0F,PLAY
20,ATH @ TEX,A2 Dominance,SP_F5_K>=4 | F5_Under_5.0 | Game_Under_9.0,MACKENZIE GORE,home,0.3191,0.117,0.0994,2.2087,K_over=0.450 F5_under=0.520 game_under=0.500,9.0,5.04,,Park=Globe Life Field alt=551ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.69 LHB pull=-0.56 (headwind) | temp=72.0F,PLAY
21,PHI @ ATL,A2 Dominance,SP_F5_K>=4 | F5_Under_5.0 | Game_Under_9.0,BRYCE ELDER,home,0.2993,0.117,0.0994,2.0097,K_over=0.450 F5_under=0.520 game_under=0.500,9.0,5.04,,Park=Truist Park alt=980ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.54 LHB pull=-0.07 (headwind) | temp=72.0F,PLAY
22,LAA @ KC,B Explosion,Home_Score>=5 | Game_Over_9.0 | Home_ML_Win,GRANT TAYLOR,away,0.2662,0.1057,0.0898,1.9643,home_score_5+=0.400 game_over=0.500 ml_win=0.528,9.0,5.04,,Park=Kauffman Stadium alt=886ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
23,NYY @ HOU,B Explosion,Home_Score>=5 | Game_Over_9.0 | Home_ML_Win,ANDRE PALLANTE,away,0.2581,0.1048,0.089,1.8987,home_score_5+=0.400 game_over=0.500 ml_win=0.524,9.0,5.04,,Park=Daikin Park alt=22ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.56 LHB pull=-0.69 (headwind) | temp=72.0F,PLAY
24,PHI @ ATL,B Explosion,Home_Score>=5 | Game_Over_9.0 | Home_ML_Win,CHRIS PADDACK,away,0.2948,0.1197,0.1017,1.8977,home_score_5+=0.400 game_over=0.500 ml_win=0.598,9.0,5.04,,Park=Truist Park alt=980ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.54 LHB pull=-0.07 (headwind) | temp=72.0F,PLAY
25,DET @ CIN,B Explosion,Home_Score>=5 | Game_Over_8.5 | Home_ML_Win,LANDEN ROUPP,away,0.2272,0.0939,0.0798,1.8465,home_score_5+=0.400 game_over=0.500 ml_win=0.469,8.5,4.76,,Park=Great American Ball Park alt=490ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.70 LHB pull=-0.49 (headwind) | temp=72.0F,PLAY
26,ATH @ TEX,B Explosion,Home_Score>=5 | Game_Over_9.0 | Home_ML_Win,BRYAN WOO,away,0.2467,0.1048,0.089,1.7703,home_score_5+=0.400 game_over=0.500 ml_win=0.524,9.0,5.04,6.5,Park=Globe Life Field alt=551ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.69 LHB pull=-0.56 (headwind) | temp=72.0F,PLAY
27,CLE @ TOR,B Explosion,Home_Score>=5 | Game_Over_8.0 | Home_ML_Win,TAJ BRADLEY,away,0.22,0.0957,0.0813,1.7052,home_score_5+=0.400 game_over=0.500 ml_win=0.478,8.0,4.48,5.5,Park=Rogers Centre alt=300ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.65 LHB pull=-0.65 (headwind) | temp=72.0F,PLAY
28,NYY @ HOU,A2 Dominance,SP_F5_K>=4 | F5_Under_5.0 | Game_Under_9.0,LANCE MCCULLERS JR.,home,0.2519,0.117,0.0994,1.5332,K_over=0.450 F5_under=0.520 game_under=0.500,9.0,5.04,,Park=Daikin Park alt=22ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.56 LHB pull=-0.69 (headwind) | temp=72.0F,PLAY
29,CHC @ LAD,A2 Dominance,SP_F5_K>=4 | F5_Under_5.0 | Game_Under_9.0,SHOHEI OHTANI,home,0.2512,0.117,0.0994,1.5263,K_over=0.450 F5_under=0.520 game_under=0.500,9.0,5.04,,Park=Dodger Stadium alt=512ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.65 LHB pull=-0.65 (headwind) | temp=72.0F,PLAY
30,MIA @ SF,B Explosion,Home_Score>=5 | Game_Over_9.0 | Home_ML_Win,AARON NOLA,away,0.214,0.1048,0.089,1.4029,home_score_5+=0.400 game_over=0.500 ml_win=0.524,9.0,5.04,,Park=Oracle Park alt=0ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.26 LHB pull=+0.26 (neutral) | temp=72.0F,PLAY
31,WSH @ CWS,B Explosion,Home_Score>=5 | Game_Over_9.0 | Home_ML_Win,STEVEN MATZ,away,0.2221,0.1115,0.0948,1.3431,home_score_5+=0.400 game_over=0.500 ml_win=0.558,9.0,5.04,,Park=? alt=500ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
32,BOS @ BAL,B Explosion,Home_Score>=5 | Game_Over_9.0 | Home_ML_Win,EDUARDO RODRIGUEZ,away,0.2169,0.1099,0.0934,1.3221,home_score_5+=0.400 game_over=0.500 ml_win=0.550,9.0,5.04,,Park=Camden Yards alt=36ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.69 LHB pull=-0.43 (headwind) | temp=72.0F,PLAY
