date,home_park_id,bias_offset,projected_total_adj,bias_source,park_blend,park_residual,park_n,global_residual,n_recent
2024-03-28,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-03-28,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-03-28,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-03-28,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-03-28,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-03-28,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-03-28,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-03-28,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-03-28,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-03-28,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-03-29,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-03-30,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-03-31,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,CHC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-01,WSH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,CHC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,MIL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-02,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,CHC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,MIL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-03,WSH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-04,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-04,MIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-04,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-04-04,STL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-04,WSH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,ATL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,CHC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,COL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,LAA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,MIL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,NYY,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,PIT,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,SF,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-04-05,WSH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,ATL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,CHC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,COL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,LAA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,MIL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,MIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,NYY,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,PIT,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,SF,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,STL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-04-06,WSH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,ATL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,CHC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,COL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,LAA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,MIL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,NYY,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,PIT,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,SF,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,STL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-04-07,WSH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,ATL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,CLE,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,COL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,LAA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,MIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,NYY,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,PIT,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,SF,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,STL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-04-08,TOR,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,ATL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,CLE,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,COL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,LAA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,MIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,NYY,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,PIT,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,SF,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,STL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-04-09,TOR,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,CLE,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,COL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,LAA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,MIN,-0.66,8.14,fallback,fallback,,0,,0
