date,home_team,away_team,close_total,actual_total,temp_f,offset_uncapped,offset_capped,was_clamped,label_uncapped,label_capped,adj_uncapped,adj_capped,actual_over_vegas,uncapped_says_over,capped_says_over,only_uncapped_over
2025-03-27,SD,ATL,7.0,11.0,64.6,-0.66,-0.66,False,fallback,fallback,6.34,6.34,True,False,False,False
2025-03-27,LAD,DET,7.0,9.0,66.1,-0.66,-0.66,False,fallback,fallback,6.34,6.34,True,False,False,False
2025-03-27,SEA,ATH,7.0,6.0,60.3,-0.66,-0.66,False,fallback,fallback,6.34,6.34,False,False,False,False
2025-03-27,STL,MIN,9.0,8.0,58.7,-0.66,-0.66,False,fallback,fallback,8.34,8.34,False,False,False,False
2025-03-27,AZ,CHC,8.5,16.0,90.9,-0.66,-0.66,False,fallback,fallback,7.84,7.84,True,False,False,False
2025-03-27,TEX,BOS,8.5,7.0,73.8,-0.66,-0.66,False,fallback,fallback,7.84,7.84,False,False,False,False
2025-03-27,WSH,PHI,7.5,10.0,54.2,-0.66,-0.66,False,fallback,fallback,6.84,6.84,True,False,False,False
2025-03-27,TOR,BAL,8.5,14.0,45.5,-0.66,-0.66,False,fallback,fallback,7.84,7.84,True,False,False,False
2025-03-27,KC,CLE,11.5,11.0,77.8,-0.66,-0.66,False,fallback,fallback,10.84,10.84,False,False,False,False
2025-03-27,HOU,NYM,8.0,4.0,70.1,-0.66,-0.66,False,fallback,fallback,7.34,7.34,False,False,False,False
2025-03-27,MIA,PIT,7.5,9.0,76.3,-0.66,-0.66,False,fallback,fallback,6.84,6.84,True,False,False,False
2025-03-28,TB,COL,8.0,5.0,78.4,-0.66,-0.66,False,fallback,fallback,7.34,7.34,False,False,False,False
2025-03-28,TEX,BOS,9.0,5.0,71.2,-0.66,-0.66,False,fallback,fallback,8.34,8.34,False,False,False,False
2025-03-28,TOR,BAL,8.5,10.0,36.2,-0.66,-0.66,False,fallback,fallback,7.84,7.84,True,False,False,False
2025-03-28,MIA,PIT,8.5,7.0,75.5,-0.66,-0.66,False,fallback,fallback,7.84,7.84,False,False,False,False
2025-03-28,SD,ATL,8.0,7.0,62.3,-0.66,-0.66,False,fallback,fallback,7.34,7.34,False,False,False,False
2025-03-28,AZ,CHC,8.5,9.0,81.1,-0.66,-0.66,False,fallback,fallback,7.84,7.84,True,False,False,False
2025-03-28,SEA,ATH,7.0,7.0,49.6,-0.66,-0.66,False,fallback,fallback,6.34,6.34,False,False,False,False
2025-03-28,HOU,NYM,9.0,4.0,69.3,-0.66,-0.66,False,fallback,fallback,8.34,8.34,False,False,False,False
2025-03-28,LAD,DET,8.0,13.0,67.5,-0.66,-0.66,False,fallback,fallback,7.34,7.34,True,False,False,False
2025-03-29,CWS,LAA,8.5,1.0,65.0,0.30000000000000004,0.30000000000000004,False,global,global,8.8,8.8,False,False,False,False
2025-03-29,MIA,PIT,8.0,9.0,76.1,0.30000000000000004,0.30000000000000004,False,global,global,8.3,8.3,True,False,False,False
2025-03-29,NYY,MIL,8.5,29.0,57.7,0.30000000000000004,0.30000000000000004,False,global,global,8.8,8.8,True,False,False,False
2025-03-29,TB,COL,8.5,3.0,81.4,0.30000000000000004,0.30000000000000004,False,global,global,8.8,8.8,False,False,False,False
2025-03-29,TOR,BAL,9.0,14.0,34.3,0.30000000000000004,0.30000000000000004,False,global,global,9.3,9.3,True,False,False,False
2025-03-29,WSH,PHI,8.5,17.0,75.2,0.30000000000000004,0.30000000000000004,False,global,global,8.8,8.8,True,False,False,False
2025-03-29,LAD,DET,7.5,10.0,67.2,0.30000000000000004,0.30000000000000004,False,global,global,7.8,7.8,True,False,False,False
2025-03-29,CIN,SF,8.5,5.0,69.4,0.30000000000000004,0.30000000000000004,False,global,global,8.8,8.8,False,False,False,False
2025-03-29,TEX,BOS,8.5,7.0,81.0,0.30000000000000004,0.30000000000000004,False,global,global,8.8,8.8,False,False,False,False
2025-03-29,HOU,NYM,9.0,3.0,76.4,0.30000000000000004,0.30000000000000004,False,global,global,9.3,9.3,False,False,False,False
2025-03-29,KC,CLE,7.5,7.0,78.2,0.30000000000000004,0.30000000000000004,False,global,global,7.8,7.8,False,False,False,False
2025-03-29,STL,MIN,8.0,6.0,70.2,0.30000000000000004,0.30000000000000004,False,global,global,8.3,8.3,False,False,False,False
2025-03-29,SEA,ATH,7.0,6.0,54.8,0.30000000000000004,0.30000000000000004,False,global,global,7.3,7.3,False,False,False,False
2025-03-29,SD,ATL,8.0,1.0,63.4,0.30000000000000004,0.30000000000000004,False,global,global,8.3,8.3,False,False,False,False
2025-03-29,AZ,CHC,9.0,7.0,79.5,0.30000000000000004,0.30000000000000004,False,global,global,9.3,9.3,False,False,False,False
2025-03-30,SD,ATL,8.0,5.0,64.2,0.19428571428571428,0.19428571428571428,False,global,global,8.194285714285714,8.194285714285714,False,False,False,False
2025-03-30,AZ,CHC,10.0,16.0,81.3,0.19428571428571428,0.19428571428571428,False,global,global,10.194285714285714,10.194285714285714,True,False,False,False
2025-03-30,CWS,LAA,6.5,5.0,63.0,0.19428571428571428,0.19428571428571428,False,global,global,6.694285714285714,6.694285714285714,False,False,False,False
2025-03-31,CIN,TEX,8.5,17.0,46.0,0.21052631578947367,0.21052631578947367,False,global,global,8.710526315789474,8.710526315789474,True,False,False,False
2025-03-31,TB,PIT,8.5,7.0,75.6,0.21052631578947367,0.21052631578947367,False,global,global,8.710526315789474,8.710526315789474,False,False,False,False
2025-03-31,TOR,WSH,8.5,7.0,37.7,0.21052631578947367,0.21052631578947367,False,global,global,8.710526315789474,8.710526315789474,False,False,False,False
2025-03-31,CWS,MIN,7.5,9.0,38.7,0.21052631578947367,0.21052631578947367,False,global,global,7.7105263157894735,7.7105263157894735,True,False,False,False
2025-03-31,HOU,SF,8.0,9.0,80.2,0.21052631578947367,0.21052631578947367,False,global,global,8.210526315789474,8.210526315789474,True,False,False,False
2025-03-31,MIA,NYM,7.5,14.0,77.2,0.21052631578947367,0.21052631578947367,False,global,global,7.7105263157894735,7.7105263157894735,True,False,False,False
2025-03-31,STL,LAA,8.5,9.0,51.5,0.21052631578947367,0.21052631578947367,False,global,global,8.710526315789474,8.710526315789474,True,False,False,False
2025-03-31,ATH,CHC,8.0,21.0,58.0,0.21052631578947367,0.21052631578947367,False,global,global,8.210526315789474,8.210526315789474,True,False,False,False
2025-03-31,LAD,ATL,8.0,7.0,66.4,0.21052631578947367,0.21052631578947367,False,global,global,8.210526315789474,8.210526315789474,False,False,False,False
2025-03-31,SD,CLE,7.5,9.0,61.1,0.21052631578947367,0.21052631578947367,False,global,global,7.7105263157894735,7.7105263157894735,True,False,False,False
2025-03-31,SEA,DET,7.0,15.0,51.7,0.21052631578947367,0.21052631578947367,False,global,global,7.2105263157894735,7.2105263157894735,True,False,False,False
2025-03-31,MIL,KC,8.5,12.0,42.4,0.21052631578947367,0.21052631578947367,False,global,global,8.710526315789474,8.710526315789474,True,False,False,False
2025-04-01,CIN,TEX,8.5,1.0,51.9,0.8,0.8,False,global,global,9.3,9.3,False,True,True,False
2025-04-01,MIA,NYM,8.5,6.0,78.3,0.8,0.8,False,global,global,9.3,9.3,False,True,True,False
2025-04-01,STL,LAA,8.0,16.0,56.5,0.8,0.8,False,global,global,8.8,8.8,True,True,True,False
2025-04-01,ATH,CHC,8.5,11.0,57.7,0.8,0.8,False,global,global,9.3,9.3,True,True,True,False
2025-04-01,TB,PIT,7.0,7.0,77.9,0.8,0.8,False,global,global,7.8,7.8,False,True,True,False
2025-04-01,NYY,AZ,8.0,12.0,48.1,0.8,0.8,False,global,global,8.8,8.8,True,True,True,False
2025-04-01,TOR,WSH,8.5,8.0,35.2,0.8,0.8,False,global,global,9.3,9.3,False,True,True,False
2025-04-01,HOU,SF,8.0,4.0,79.9,0.8,0.8,False,global,global,8.8,8.8,False,True,True,False
2025-04-01,MIL,KC,7.5,5.0,35.2,0.8,0.8,False,global,global,8.3,8.3,False,True,True,False
2025-04-01,LAD,ATL,8.0,4.0,63.8,0.8,0.8,False,global,global,8.8,8.8,False,True,True,False
2025-04-01,SEA,DET,6.5,5.0,50.8,0.8,0.8,False,global,global,7.3,7.3,False,True,True,False
2025-04-01,SD,CLE,7.5,7.0,58.8,-0.8800000000000001,-0.8800000000000001,False,safety_valve,safety_valve,6.62,6.62,False,False,False,False
2025-04-01,CWS,MIN,7.5,11.0,39.8,0.8,0.8,False,global,global,8.3,8.3,True,True,True,False
2025-04-02,TB,PIT,7.0,6.0,79.7,0.5714285714285715,0.5714285714285715,False,global,global,7.571428571428571,7.571428571428571,False,True,True,False
