date,game,home_team,away_team,home_sp,away_sp,home_sp_xwoba,away_sp_xwoba,blended_rl,signal,home_covers_rl,bet_win,actual_total,actual_home_win,vegas_ml_home,vegas_ml_away,vegas_total,home_score,away_score,edge,vegas_implied,season
2023-03-30,ATL @ WSH,WSH,ATL,PATRICK CORBIN,MAX FRIED,0.3728,0.2579,0.25,AWAY +1.5 *,0,1.0,9.0,0.0,215.0,-263.0,,2.0,7.0,-0.0675,0.3175,2023
2023-03-30,SF @ NYY,NYY,SF,GERRIT COLE,LOGAN WEBB,0.2883,0.2956,0.5586,AWAY +1.5 *,1,0.0,5.0,1.0,-164.0,145.0,,5.0,0.0,-0.0626,0.6212,2023
2023-03-30,BAL @ BOS,BOS,BAL,COREY KLUBER,KYLE GIBSON,0.3753,0.3331,0.4376,AWAY +1.5 **,0,1.0,19.0,0.0,-125.0,104.0,,9.0,10.0,-0.118,0.5556,2023
2023-03-30,MIL @ CHC,CHC,MIL,MARCUS STROMAN,CORBIN BURNES,0.3185,0.2869,0.468,,1,,4.0,1.0,114.0,-135.0,,4.0,0.0,0.0007,0.4673,2023
2023-03-30,DET @ TB,TB,DET,SHANE MCCLANAHAN,EDUARDO RODRIGUEZ,0.3124,0.3107,0.534,AWAY +1.5 **,1,0.0,4.0,1.0,-233.0,190.0,,4.0,0.0,-0.1657,0.6997,2023
2023-03-30,PHI @ TEX,TEX,PHI,JACOB DEGROM,AARON NOLA,0.2095,0.2968,0.75,HOME -1.5 **,1,1.0,18.0,1.0,-141.0,120.0,,11.0,7.0,0.1649,0.5851,2023
2023-03-30,PIT @ CIN,CIN,PIT,HUNTER GREENE,MITCH KELLER,0.303,0.3151,0.5667,,0,,9.0,0.0,-141.0,120.0,,4.0,5.0,-0.0184,0.5851,2023
2023-03-30,TOR @ STL,STL,TOR,MILES MIKOLAS,ALEK MANOAH,0.3552,0.3732,0.5889,HOME -1.5 *,0,0.0,19.0,0.0,-110.0,-110.0,,9.0,10.0,0.0651,0.5238,2023
2023-03-30,MIN @ KC,KC,MIN,ZACK GREINKE,PABLO LOPEZ,0.3445,0.2697,0.3476,AWAY +1.5 *,0,1.0,2.0,0.0,140.0,-159.0,,0.0,2.0,-0.0691,0.4167,2023
2023-03-30,NYM @ MIA,MIA,NYM,SANDY ALCANTARA,MAX SCHERZER,0.319,0.2833,0.4445,,0,,8.0,0.0,110.0,-130.0,,3.0,5.0,-0.0317,0.4762,2023
