home_team,away_team,home_sp,away_sp,xgb_l1,stacker_l2,team_log_odds,actual_home_win,game_date,game_pk,model_prob,bet_type,home_score_final,away_score_final,actual,close_ml_home,pinnacle_ml_home,retail_implied_home,P_true_home,retail_odds,retail_imp,p_true,P_true,retail_implied_prob,edge,sanity_check_pass,odds_floor_pass,tier,dollar_stake,actionable,market,lam_home,lam_away,total_line,p_over_dc,p_over_xgb,p_over_final,p_cover_dc,p_cover_xgb,p_home_cover_final,actual_total,close_total,pinnacle_total_over_odds,retail_implied_over,P_true_over,home_covers_rl,runline_home_odds,pinnacle_rl_home_odds,retail_implied_rl_home,P_true_rl_home,actual_f5_home,actual_f5_away,actual_f5_win,f5_home_win,skip_sanity,p_stk_nrfi,pois_p_nrfi,actual_f1_home,actual_f1_away,actual_nrfi,f1_nrfi
ATL,MIA,BRYCE ELDER,CHRIS PADDACK,0.792,0.852,3.161,1.0,2026-04-15,824936,0.852,HOME_ML,6.0,3.0,1,-171,-171,0.603285,0.615788,-171,0.603285,0.615788,0.6158,0.6033,0.2487,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT,TB,BUBBA CHANDLER,NICK MARTINEZ,0.737,0.756,1.909,1.0,2026-04-17,823397,0.756,HOME_ML,5.0,1.0,1,-128,-113,0.537488,0.520972,-128,0.537488,0.520972,0.521,0.5375,0.2185,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYY,KC,CAM SCHLITTLER,MICHAEL WACHA,0.689,0.722,1.669,1.0,2026-04-17,823559,0.722,HOME_ML,4.0,2.0,1,-181,-173,0.615958,0.620485,-181,0.615958,0.620485,0.6205,0.616,0.106,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYY,KC,RYAN WEATHERS,COLE RAGANS,0.767,0.823,2.797,1.0,2026-04-19,823556,0.823,HOME_ML,7.0,0.0,1,-145,-144,0.565603,0.577913,-145,0.565603,0.577913,0.5779,0.5656,0.2574,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,STL,MIKE BURROWS,MATTHEW LIBERATORE,0.244,0.269,-1.28,0.0,2026-04-19,824205,0.269,HOME_ML,5.0,7.0,0,563,807,0.141674,0.105906,563,0.141674,0.105906,0.1059,0.1417,0.1273,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,LAD,MICHAEL LORENZEN,ROKI SASAKI,0.654,0.626,0.537,1.0,2026-04-19,824371,0.626,HOME_ML,9.0,6.0,1,348,367,0.209792,0.206278,348,0.209792,0.206278,0.2063,0.2098,0.4162,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHC,NYM,JAVIER ASSAD,TOBIAS MYERS,0.791,0.831,2.806,1.0,2026-04-19,824691,0.831,HOME_ML,2.0,1.0,1,174,194,0.342797,0.32739,174,0.342797,0.32739,0.3274,0.3428,0.4882,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATH,CWS,JEFFREY SPRINGS,NOAH SCHULTZ,0.697,0.717,1.337,0.0,2026-04-19,825018,0.717,HOME_ML,4.0,7.0,0,-163,-150,0.592911,0.588138,-163,0.592911,0.588138,0.5881,0.5929,0.1241,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB,CIN,JESSE SCHOLTENS,RHETT LOWDER,0.739,0.767,2.017,0.0,2026-04-20,822994,0.767,HOME_ML,1.0,6.0,0,264,177,0.258152,0.34463,264,0.258152,0.34463,0.3446,0.2582,0.5088,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,HOU,SLADE CECCONI,SPENCER ARRIGHETTI,0.365,0.336,-1.602,0.0,2026-04-20,824450,0.336,HOME_ML,2.0,9.0,0,870,800,0.096834,0.106721,870,0.096834,0.106721,0.1067,0.0968,0.2392,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
