date,home_team,away_team,bet_type,direction,pick_p_true,pick_p_model,pick_edge,tier,stake,odds,won,close_p_true,snapshot_time,clv
2026-04-15,DET,KC,ML_HOME,home,0.548049,0.5576,0.0152,2,0.0,-131.0,1.0,,,
2026-04-15,ATL,MIA,OU_UNDER,under,0.520341,0.4774,0.0118,2,0.0,-110.0,0.0,,,
2026-04-16,CLE,BAL,RL_AWAY,away,0.641792,0.6602,0.0298,2,46.98,-159.0,0.0,,,
2026-04-17,NYY,KC,ML_HOME,home,0.620485,0.6587,0.0427,1,20.47,-181.0,1.0,,,
2026-04-17,PHI,ATL,OU_UNDER,under,0.516052,0.4494,0.0332,1,13.3,-110.0,0.0,,,
2026-04-17,BOS,DET,OU_OVER,over,0.513761,0.5441,0.0267,2,5.03,-110.0,0.0,,,
2026-04-17,CHC,NYM,RL_AWAY,away,0.458807,0.4873,0.0959,1,50.0,184.0,0.0,,,
2026-04-18,PIT,TB,OU_UNDER,under,0.518847,0.4921,0.0455,1,0.0,-110.0,0.0,,2026-04-19 03:35:00.600204+00:00,
2026-04-18,BOS,DET,ML_HOME,home,0.321121,0.3308,0.0327,1,9.77,215.0,0.0,,2026-04-19 03:35:00.600204+00:00,
2026-04-18,HOU,STL,RL_AWAY,away,0.606393,0.6153,0.014,2,38.39,-140.0,1.0,,2026-04-19 03:35:00.600204+00:00,
2026-04-19,CLE,BAL,RL_HOME,home,0.517832,0.4921,0.1766,1,50.0,198.0,1.0,0.335642,2026-04-19 18:01:08.809922+00:00,-0.18218999999999996
2026-04-19,PIT,TB,OU_OVER,over,0.395697,0.4095,0.1389,1,0.0,-110.0,0.0,0.49771,2026-04-19 18:01:08.809922+00:00,0.10201299999999996
2026-04-19,ATH,CWS,RL_HOME,home,0.430262,0.4459,0.0175,2,0.0,123.0,0.0,0.42846,2026-04-19 18:01:08.809922+00:00,-0.0018019999999999703
2026-04-19,ATH,CWS,OU_UNDER,under,0.517083,0.4484,0.0342,1,13.8,-110.0,0.0,0.517083,2026-04-19 18:01:08.809922+00:00,0.0
2026-04-19,NYY,KC,OU_OVER,over,0.49542,0.5275,0.0318,1,1.75,-110.0,0.0,0.488538,2026-04-19 18:01:08.809922+00:00,-0.006882000000000055
2026-04-19,BOS,DET,OU_OVER,over,0.50458,0.5215,0.0258,2,0.0,-110.0,0.0,0.509166,2026-04-19 18:01:08.809922+00:00,0.004585999999999979
2026-04-20,CHC,PHI,OU_OVER,over,0.511462,0.5494,0.0386,1,12.7,-110.0,,0.511462,2026-04-20 16:04:26.468723+00:00,0.0
