date,game,home_abbr,away_abbr,model,bet_type,pick_direction,model_prob,P_true,Retail_Implied_Prob,edge,retail_american_odds,tier,dollar_stake,signal_flags,result,profit_loss,graded_at
2026-04-08,Detroit Tigers @ Minnesota Twins,MIN,DET,Totals,Total 8.5,OVER,0.5985,,0.5238095238095238,0.0747,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-08,Oakland Athletics @ New York Yankees,NYY,ATH,Totals,Total 8.5,OVER,0.6387,,0.5238095238095238,0.1149,-110.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-08,St. Louis Cardinals @ Washington Nationals,WSH,STL,Totals,Total 8.5,OVER,0.7108,,0.5238095238095238,0.187,-110.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-10,Cleveland Guardians @ Atlanta Braves,ATL,CLE,Totals,Total 8.5,OVER,0.5397,,0.5238095238095238,0.0159,-110.0,2,8.34,,WIN,7.58,2026-04-22T13:47:45+00:00
2026-04-10,Miami Marlins @ Detroit Tigers,DET,MIA,Totals,Total 8.5,OVER,0.5819,,0.5238095238095238,0.0581,-110.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-10,Houston Astros @ Seattle Mariners,SEA,HOU,Totals,Total 8.5,OVER,0.559,,0.5238095238095238,0.0352,-110.0,1,36.95,,WIN,33.59,2026-04-22T13:47:45+00:00
2026-04-10,New York Yankees @ Tampa Bay Rays,TB,NYY,Totals,Total 8.5,OVER,0.571,,0.5238095238095238,0.0472,-110.0,1,49.55,,LOSS,-49.55,2026-04-22T13:47:45+00:00
2026-04-11,San Francisco Giants @ Baltimore Orioles,BAL,SF,Totals,Total 8.5,OVER,0.6119,,0.5238095238095238,0.0881,-110.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-11,Houston Astros @ Seattle Mariners,SEA,HOU,Totals,Total 8.5,OVER,0.5576,,0.5238095238095238,0.0338,-110.0,1,35.48,,WIN,32.25,2026-04-22T13:47:45+00:00
2026-04-12,Cleveland Guardians @ Atlanta Braves,ATL,CLE,ML,Moneyline,HOME,0.833,,0.6503496503496503,0.1827,-186.0,1,50.0,,WIN,26.88,2026-04-22T13:47:45+00:00
2026-04-12,Cleveland Guardians @ Atlanta Braves,ATL,CLE,Runline,Runline -1.5,HOME,0.8853,,0.4694835680751174,0.4158,113.0,1,50.0,,WIN,56.5,2026-04-22T13:47:45+00:00
2026-04-12,San Francisco Giants @ Baltimore Orioles,BAL,SF,Runline,Runline -1.5,HOME,0.6301,,0.3802281368821292,0.2499,163.0,1,50.0,,WIN,81.5,2026-04-22T13:47:45+00:00
2026-04-12,San Francisco Giants @ Baltimore Orioles,BAL,SF,Totals,Total 8.5,OVER,0.5471,,0.5238095238095238,0.0233,-110.0,2,12.23,,LOSS,-12.23,2026-04-22T13:47:45+00:00
