game_date,home_team,away_team,home_sp_xwoba_against,away_sp_xwoba_against,mc_expected_runs,total_runs,mc_f5_home_win_pct,mc_f5_away_win_pct,mc_f5_tie_pct,mc_f5_expected_total,mc_f5_home_cover_pct,actual_f5_total
2023-04-02,CIN,PIT,,,9.684800148010254,4.0,0.414,0.4279,0.1581,5.373000144958496,0.5721,
2023-04-02,KC,MIN,,,10.100799560546875,11.0,0.423,0.4194,0.1576,5.433000087738037,0.5806,
2023-04-02,NYY,SF,,,9.27696704864502,6.0,0.418,0.4184,0.1636,5.193999767303467,0.5816,
2023-04-02,TEX,PHI,,,9.57313346862793,3.0,0.4219,0.4226,0.1554,5.349999904632568,0.5774,
2023-04-03,HOU,DET,,,9.352333068847656,13.0,0.4272,0.4152,0.1576,5.184000015258789,0.5848,
2023-04-03,KC,TOR,,,9.98900032043457,14.0,0.416,0.425,0.1589,5.427999973297119,0.575,
2023-04-03,ATH,CLE,,,9.308300018310547,23.0,0.4177,0.4171,0.1652,5.10699987411499,0.5829,
2023-04-03,SD,AZ,,,9.280933380126953,9.0,0.4216,0.4175,0.1609,5.159999847412109,0.5825,
2023-04-03,BOS,PIT,,,9.404433250427246,13.0,0.4182,0.4194,0.1624,5.139999866485596,0.5806,
2023-04-03,LAD,COL,,,9.755000114440918,17.0,0.4227,0.4195,0.1578,5.359000205993652,0.5805,
2023-04-03,TEX,BAL,,,9.582099914550781,2.0,0.4228,0.4176,0.1596,5.3480000495910645,0.5824,
2023-04-03,WSH,TB,,,9.2496337890625,8.0,0.4155,0.4216,0.1629,5.1539998054504395,0.5784,
2023-04-03,NYY,PHI,,,9.309499740600586,9.0,0.4168,0.4187,0.1644,5.171000003814697,0.5813,
2023-04-03,MIL,NYM,,,9.71796703338623,10.0,0.4231,0.4157,0.1612,5.349999904632568,0.5843,
2023-04-03,CWS,SF,,,9.42650032043457,15.0,0.4173,0.4188,0.1639,5.160999774932861,0.5812,
2023-04-03,SEA,LAA,,,9.582599639892578,10.0,0.4232,0.4177,0.1591,5.228000164031982,0.5823,
2023-04-03,MIA,MIN,,,9.239067077636719,12.0,0.4191,0.4204,0.1605,5.146999835968018,0.5796,
2023-04-03,STL,ATL,,,9.704533576965332,12.0,0.4209,0.4189,0.1603,5.317999839782715,0.5811,
2023-04-03,CIN,CHC,,,9.665733337402344,13.0,0.4188,0.4247,0.1566,5.394999980926514,0.5753,
2023-04-04,HOU,DET,0.2760478571428572,,8.776100158691406,9.0,0.4937,0.3348,0.1714,4.685999870300293,0.6652,
2023-04-04,ATH,CLE,,0.34054629399585923,9.647299766540527,7.0,0.4574,0.3868,0.1557,5.427999973297119,0.6132,
2023-04-04,KC,TOR,,,9.952433586120605,5.0,0.4196,0.4197,0.1607,5.416999816894531,0.5803,
2023-04-04,TEX,BAL,,0.398793313283208,10.829899787902832,9.0,0.5568,0.3127,0.1305,6.3480000495910645,0.6873,
2023-04-04,NYY,PHI,,,9.281900405883789,5.0,0.42,0.4183,0.1617,5.184999942779541,0.5817,
2023-04-04,LAD,COL,0.30068595238095236,0.27232954545454546,8.845932960510254,7.0,0.3671,0.4593,0.1736,4.545000076293945,0.5407,
2023-04-04,MIL,NYM,,0.2773064386334386,9.07473373413086,9.0,0.3419,0.487,0.1712,4.860000133514404,0.513,
2023-04-04,SD,AZ,,0.32050908695652175,9.314233779907227,14.0,0.4237,0.4109,0.1654,5.159999847412109,0.5891,
2023-04-04,STL,ATL,,,9.675167083740234,5.0,0.4206,0.4211,0.1583,5.361000061035156,0.5789,
2023-04-04,CIN,CHC,,,9.712233543395996,17.0,0.4196,0.4218,0.1585,5.303999900817871,0.5782,
2023-04-04,SEA,LAA,0.21264909706074658,,8.019700050354004,13.0,0.6188,0.2049,0.1763,3.927999973297119,0.7951,
2023-04-04,BOS,PIT,,,9.482233047485352,5.0,0.4203,0.4198,0.1599,5.190999984741211,0.5802,
2023-04-04,MIA,MIN,0.33619741614906834,,9.581033706665039,1.0,0.3916,0.45,0.1584,5.381999969482422,0.55,
2023-04-04,WSH,TB,,,9.248933792114258,16.0,0.4178,0.4219,0.1602,5.164999961853027,0.5781,
2023-04-05,WSH,TB,0.45054769003627937,0.22294572576787447,9.862032890319824,9.0,0.1207,0.7683,0.111,5.620999813079834,0.2317,
2023-04-05,ATH,CLE,0.3133106842105263,0.30091155555555554,8.932533264160156,10.0,0.396,0.4341,0.1699,4.875,0.5659,
2023-04-05,SEA,LAA,0.4503979747474747,0.22294572576787447,10.092399597167969,7.0,0.1299,0.7583,0.1117,5.672999858856201,0.2417,
2023-04-05,KC,TOR,0.2662131739130435,0.4369210311262026,11.017366409301758,3.0,0.6797,0.1998,0.1205,6.328000068664551,0.8002,
2023-04-05,TEX,BAL,0.2760539710833828,,8.98153305053711,7.0,0.4894,0.3396,0.171,4.802999973297119,0.6604,
2023-04-05,CWS,SF,0.212726673553719,0.25206641801893176,6.89769983291626,10.0,0.4696,0.3002,0.2302,3.0769999027252197,0.6998,
2023-04-05,MIL,NYM,0.3030459891304348,0.32931097552447547,9.63723373413086,13.0,0.4708,0.3729,0.1562,5.348999977111816,0.6271,
2023-04-05,NYY,PHI,0.21662754545454546,0.36322808403361345,8.485666275024414,6.0,0.6751,0.1734,0.1515,4.485000133514404,0.8266,
2023-04-05,MIA,MIN,0.3369346675384112,0.24817685714285717,8.5068998336792,7.0,0.2643,0.571,0.1647,4.5320000648498535,0.429,
2023-04-05,BOS,PIT,0.45054769003627937,0.3658092173913044,12.051766395568848,5.0,0.3249,0.5512,0.1239,7.39300012588501,0.4488,
2023-04-05,HOU,DET,0.28438011179361183,0.313598987012987,8.79223346710205,10.0,0.4604,0.3625,0.1771,4.695000171661377,0.6375,
2023-04-05,STL,ATL,0.45054769003627937,,11.692399978637695,7.0,0.2597,0.6194,0.1209,6.998000144958496,0.3806,
2023-04-06,ATL,SD,0.27242213043478264,0.2337572857142857,7.89603328704834,13.0,0.3195,0.4816,0.1989,3.7829999923706055,0.5184,
2023-04-06,AZ,LAD,0.45054769003627937,0.29355612000000003,11.66176700592041,7.0,0.2233,0.6621,0.1146,6.938000202178955,0.3379,
2023-04-06,COL,WSH,0.21860490476190475,0.4074793126428698,12.775099754333496,1.0,0.7639,0.1383,0.0978,6.790999889373779,0.8617,
2023-04-06,KC,TOR,0.4223518867373036,0.29576677777777777,11.267833709716797,9.0,0.2507,0.6214,0.1279,6.447000026702881,0.3786,
2023-04-06,CWS,SF,0.40851440372670816,,10.70680046081543,22.0,0.2998,0.5646,0.1356,6.269999980926514,0.4354,
2023-04-06,DET,BOS,0.43471096296296297,0.44229160484567775,13.533766746520996,9.0,0.4525,0.4325,0.115,8.463000297546387,0.5675,
2023-04-07,MIN,HOU,0.43708223737373736,0.30288515000000005,11.452433586120605,,0.2504,0.6264,0.1232,6.794000148773193,0.3736,
2023-04-07,NYM,MIA,0.38032830999435346,0.3798875666666667,11.173266410827637,,0.4267,0.4397,0.1336,6.703999996185303,0.5603,
2023-04-07,LAA,TOR,0.3077237607655502,0.44229160484567775,11.275933265686035,7.0,0.6137,0.264,0.1223,6.664999961853027,0.736,
2023-04-07,AZ,LAD,0.41760132685834506,0.3034952380952381,11.2142333984375,9.0,0.2695,0.6057,0.1247,6.684999942779541,0.3943,
2023-04-07,PHI,CIN,0.2659300606060606,0.3927268888888889,9.605833053588867,,0.6264,0.2336,0.1399,5.447000026702881,0.7664,
2023-04-07,COL,WSH,0.45054769003627937,0.29431393333333333,15.135266304016113,15.0,0.2201,0.6868,0.093,8.848999977111816,0.3132,
2023-04-07,CHC,TEX,0.24820473913043478,0.2837615167464115,8.081866264343262,2.0,0.4719,0.3373,0.1908,4.035999774932861,0.6627,
2023-04-07,MIL,STL,0.21264909706074658,0.31337845454545454,8.02573299407959,4.0,0.6095,0.213,0.1775,3.9539999961853027,0.787,
2023-04-07,CLE,SEA,0.21264909706074658,0.22368748221343873,6.647766590118408,8.0,0.4033,0.3528,0.2439,2.8310000896453857,0.6472,
2023-04-07,TB,ATH,0.2472047653846154,0.4254752729536259,9.6766996383667,14.0,0.7011,0.1713,0.1277,5.578999996185303,0.8287,
2023-04-07,PIT,CWS,0.3446315516629712,0.26108587943003286,9.458333015441895,22.0,0.2805,0.5665,0.1529,5.050000190734863,0.4335,
2023-04-07,SF,KC,0.229021443438914,0.37750212252964427,9.16213321685791,4.0,0.6714,0.1819,0.1468,4.833000183105469,0.8181,
2023-04-07,BAL,NYY,0.45054769003627937,0.44229160484567775,13.135133743286133,,0.4313,0.4541,0.1146,8.32699966430664,0.5459,
2023-04-07,ATL,SD,0.42780500000000005,0.34976492838196294,12.153200149536133,9.0,0.3283,0.5501,0.1216,7.409999847412109,0.4499,
2023-04-08,MIL,STL,0.3134669523809524,0.3895870347593583,10.762332916259766,6.0,0.5436,0.3189,0.1375,6.210000038146973,0.6811,
2023-04-08,AZ,LAD,0.34816219047619046,0.24572727272727277,9.275032997131348,20.0,0.2475,0.6002,0.1523,4.98199987411499,0.3998,
2023-04-08,LAA,TOR,0.26094464437984494,0.4035840606060606,10.052433013916016,14.0,0.6417,0.2222,0.1361,5.574999809265137,0.7778,
2023-04-08,COL,WSH,0.22996998895790205,0.3521396680440772,11.883832931518555,13.0,0.665,0.2073,0.1278,6.072999954223633,0.7927,
2023-04-08,ATL,SD,0.3977115335335335,0.4280572879924953,12.895066261291504,5.0,0.4805,0.403,0.1166,8.03499984741211,0.597,
2023-04-08,NYM,MIA,0.3014147142857143,0.3859912380952381,10.081966400146484,7.0,0.5571,0.3009,0.142,5.807000160217285,0.6991,
2023-04-08,MIN,HOU,0.2678770034506556,0.3241606752941177,9.13813304901123,15.0,0.5135,0.3161,0.1704,4.857999801635742,0.6839,
2023-04-08,CLE,SEA,0.42148286104006816,0.3336812380952381,11.571200370788574,5.0,0.313,0.5622,0.1248,6.927999973297119,0.4378,
2023-04-08,BAL,NYY,0.40671737009189646,0.31104676488095234,10.467133522033691,5.0,0.2945,0.5707,0.1348,6.177000045776367,0.4293,
2023-04-08,TB,ATH,0.21264909706074658,0.3832715090909092,8.499699592590332,11.0,0.709,0.1521,0.1388,4.646999835968018,0.8479,
2023-04-08,DET,BOS,0.302043,0.28168751363636363,9.003999710083008,19.0,0.3709,0.453,0.1761,4.695000171661377,0.547,
2023-04-08,PHI,CIN,0.2802772902772903,0.23307733333333333,7.486000061035156,5.0,0.3019,0.4963,0.2018,3.6489999294281006,0.5037,
2023-04-08,CHC,TEX,0.24618585714285718,0.35858864402618656,9.157666206359863,13.0,0.6164,0.2333,0.1503,4.942999839782715,0.7667,
2023-04-08,SF,KC,0.3871458173913044,0.3171557368421053,10.604866981506348,11.0,0.3317,0.5244,0.1439,6.026000022888184,0.4756,
2023-04-08,PIT,CWS,0.3039671135627531,0.2981690454545455,9.370333671569824,16.0,0.4069,0.4274,0.1657,4.961999893188477,0.5726,
2023-04-09,COL,WSH,0.39951234189723317,0.44229160484567775,17.05306625366211,13.0,0.5074,0.3978,0.0948,10.397000312805176,0.6022,
2023-04-09,AZ,LAD,0.35797884120982987,0.22294572576787447,9.027233123779297,17.0,0.1914,0.6641,0.1446,4.827000141143799,0.3359,
2023-04-09,CHC,TEX,0.3463106842105263,0.33057240909090907,10.349733352661133,10.0,0.3994,0.4526,0.148,5.868000030517578,0.5474,
2023-04-09,SF,KC,0.26645714285714284,0.3362049573002755,9.062833786010742,4.0,0.5443,0.2922,0.1635,4.7870001792907715,0.7078,
2023-04-09,LAA,TOR,0.28534076721763085,0.38766127777777776,10.179866790771484,23.0,0.581,0.276,0.143,5.681000232696533,0.724,
2023-04-09,CLE,SEA,0.45054769003627937,0.44229160484567775,13.685099601745605,13.0,0.4324,0.4545,0.1131,8.677000045776367,0.5455,
2023-04-09,PHI,CIN,0.28732181363636367,0.3272251208964066,8.948166847229004,10.0,0.4854,0.3478,0.1668,4.934999942779541,0.6522,
2023-04-09,ATL,SD,0.30573684210526314,0.3196944651059086,9.74803352355957,12.0,0.4466,0.3963,0.1571,5.38100004196167,0.6037,
2023-04-09,MIN,HOU,0.22204752631578947,0.37209637524596617,9.191133499145508,6.0,0.6838,0.1748,0.1414,4.8979997634887695,0.8252,
2023-04-09,MIL,STL,0.2342872777777778,0.44229160484567775,10.336433410644531,7.0,0.7491,0.1368,0.1142,5.859000205993652,0.8632,
2023-04-09,BAL,NYY,0.21264909706074658,0.2833113553113553,7.273799896240234,8.0,0.5452,0.251,0.2037,3.4590001106262207,0.749,
2023-04-09,PIT,CWS,0.39477792994505495,0.44229160484567775,13.064167022705078,1.0,0.502,0.3783,0.1197,7.9770002365112305,0.6217,
2023-04-09,TB,ATH,0.21264909706074658,0.39649900922266135,8.694266319274902,11.0,0.7259,0.1412,0.1329,4.833000183105469,0.8588,
2023-04-09,DET,BOS,0.2926688947368421,0.44229160484567775,11.336166381835938,5.0,0.6504,0.2312,0.1184,6.633999824523926,0.7688,
2023-04-09,NYM,MIA,0.3572222666666667,0.40707800453514736,11.22563362121582,9.0,0.5015,0.3637,0.1348,6.790999889373779,0.6363,
2023-04-10,AZ,MIL,0.3153106009400793,0.34485814165497897,10.256133079528809,3.0,0.4754,0.3789,0.1457,5.785999774932861,0.6211,
2023-04-10,CHC,SEA,0.30833907692307694,0.22294572576787447,8.047100067138672,5.0,0.2457,0.5771,0.1772,4.034999847412109,0.4229,
2023-04-10,COL,STL,0.34624702565514026,0.4244617477056277,15.70259952545166,11.0,0.5627,0.3359,0.1014,9.227999687194824,0.6641,
2023-04-10,TEX,KC,0.45054769003627937,0.3607181004553637,12.575599670410156,13.0,0.3262,0.553,0.1208,7.599999904632568,0.447,
2023-04-10,LAA,WSH,0.45054769003627937,0.44229160484567775,13.509766578674316,10.0,0.432,0.4538,0.1142,8.40999984741211,0.5462,
2023-04-10,PIT,HOU,0.2932203383838384,0.2696594469996017,8.680233001708984,10.0,0.3655,0.4535,0.1811,4.464000225067139,0.5465,
2023-04-10,PHI,MIA,0.3327801141701964,0.2828185747296815,8.909266471862793,18.0,0.3368,0.4989,0.1643,4.894999980926514,0.5011,
