date,game,home_team,away_team,home_sp,away_sp,home_sp_xwoba,away_sp_xwoba,blended_rl,signal,home_covers_rl,bet_win,actual_total,actual_home_win,vegas_ml_home,vegas_ml_away,vegas_total,home_score,away_score,edge,vegas_implied,season
2024-03-23,DET @ TOR,TOR,DET,YUSEI KIKUCHI,KENTA MAEDA,0.3014,0.3255,0.6086,,,,17.0,False,,,,,,,,2024
2024-03-23,BOS @ PIT,PIT,BOS,JARED JONES,BRAYAN BELLO,0.3122,0.3305,0.5832,,,,5.0,True,,,,,,,,2024
2024-03-24,CWS @ COL,COL,CWS,AUSTIN GOMBER,ERICK FEDDE,0.3504,0.3089,0.4456,,,,10.0,True,,,,,,,,2024
2024-03-24,CLE @ CIN,CIN,CLE,HUNTER GREENE,LOGAN ALLEN,0.2755,0.3688,0.75,,,,17.0,False,,,,,,,,2024
2024-03-24,CHC @ SEA,SEA,CHC,LOGAN GILBERT,KYLE HENDRICKS,0.2763,0.3385,0.6922,,,,18.0,False,,,,,,,,2024
2024-03-24,AZ @ MIL,MIL,AZ,DL HALL,MERRILL KELLY,0.3271,0.3451,0.5768,,,,18.0,True,,,,,,,,2024
2024-03-24,NYY @ PIT,PIT,NYY,MARTIN PEREZ,MARCUS STROMAN,0.3592,0.3425,0.4861,,,,1.0,False,,,,,,,,2024
2024-03-24,LAA @ LAD,LAD,LAA,BOBBY MILLER,GRIFFIN CANNING,0.3958,0.3384,0.4116,,,,8.0,True,,,,,,,,2024
2024-03-24,TOR @ PHI,PHI,TOR,AARON NOLA,CHRIS BASSITT,0.3042,0.3303,0.6073,,,,2.0,True,,,,,,,,2024
2024-03-24,ATL @ BOS,BOS,ATL,KUTTER CRAWFORD,MAX FRIED,0.3073,0.3041,0.5255,,,,10.0,False,,,,,,,,2024
2024-03-24,STL @ HOU,HOU,STL,HUNTER BROWN,LANCE LYNN,0.2862,0.3417,0.6827,,,,13.0,True,,,,,,,,2024
2024-03-24,TB @ DET,DET,TB,JACK FLAHERTY,ZACK LITTELL,0.2958,0.3261,0.6208,,,,5.0,True,,,,,,,,2024
2024-03-24,NYM @ MIA,MIA,NYM,DARREN MCCAUGHAN,TYLOR MEGILL,0.3614,0.318,0.4232,,,,6.0,True,,,,,,,,2024
2024-03-24,BAL @ MIN,MIN,BAL,JOE RYAN,GRAYSON RODRIGUEZ,0.2684,0.3031,0.6215,,,,11.0,False,,,,,,,,2024
2024-03-24,WSH @ NYM,NYM,WSH,LUIS SEVERINO,PATRICK CORBIN,0.3069,0.3595,0.6873,,,,11.0,True,,,,,,,,2024
2024-03-25,SF @ ATH,ATH,SF,JP SEARS,JORDAN HICKS,0.3277,0.3382,0.5609,,,,5.0,False,,,,,,,,2024
2024-03-25,SEA @ SD,SD,SEA,DYLAN CEASE,BRYCE MILLER,0.2863,0.3012,0.589,,,,5.0,False,,,,,,,,2024
2024-03-25,CLE @ AZ,AZ,CLE,TOMMY HENRY,TYLER BEEDE,0.3854,0.3405,0.4381,,,,6.0,True,,,,,,,,2024
2024-03-25,COL @ MIL,MIL,COL,COLIN REA,DAKOTA HUDSON,0.3423,0.3737,0.6258,,,,11.0,True,,,,,,,,2024
2024-03-25,LAA @ LAD,LAD,LAA,GAVIN STONE,REID DETMERS,0.3119,0.3152,0.5675,,,,6.0,False,,,,,,,,2024
2024-03-25,BOS @ TEX,TEX,BOS,JACOB LATZ,GARRETT WHITLOCK,0.3423,0.3253,0.4973,,,,11.0,False,,,,,,,,2024
2024-03-25,MIN @ ATL,ATL,MIN,CHRIS SALE,BAILEY OBER,0.2634,0.2841,0.5966,,,,4.0,True,,,,,,,,2024
2024-03-25,TOR @ PIT,PIT,TOR,MARCO GONZALES,KEVIN GAUSMAN,0.3906,0.3365,0.4076,,,,7.0,True,,,,,,,,2024
2024-03-25,STL @ CHC,CHC,STL,JORDAN WICKS,STEVEN MATZ,0.3522,0.333,0.4964,,,,9.0,False,,,,,,,,2024
2024-03-25,NYM @ NYY,NYY,NYM,CLARKE SCHMIDT,SEAN MANAEA,0.304,0.3041,0.5453,,,,3.0,True,,,,,,,,2024
2024-03-26,MIL @ COL,COL,MIL,RYAN FELTNER,AARON ASHBY,0.3259,0.2808,0.4181,,,,7.0,True,,,,,,,,2024
2024-03-26,ATH @ SF,SF,ATH,SPENCER HOWARD,PAUL BLACKBURN,0.357,0.3329,0.4804,,,,4.0,False,,,,,,,,2024
2024-03-26,BOS @ TEX,TEX,BOS,DANE DUNNING,RICHARD FITTS,0.3489,0.3158,0.4543,,,,5.0,False,,,,,,,,2024
2024-03-26,CLE @ AZ,AZ,CLE,BRANDON PFAADT,TRISTON MCKENZIE,0.3031,0.3599,0.6989,,,,7.0,True,,,,,,,,2024
2024-03-26,DET @ TB,TB,DET,RYAN PEPIOT,CASEY MIZE,0.2979,0.3381,0.6354,,,,6.0,False,,,,,,,,2024
2024-03-26,STL @ CHC,CHC,STL,SHOTA IMANAGA,KYLE GIBSON,0.2885,0.3403,0.6794,,,,9.0,False,,,,,,,,2024
2024-03-28,CHC @ TEX,TEX,CHC,NATHAN EOVALDI,JUSTIN STEELE,0.3089,0.2649,0.4252,AWAY +1.5 **,0.0,1.0,7.0,1.0,-130.0,110.0,,4.0,3.0,-0.14,0.5652,2024
2024-03-28,TOR @ TB,TB,TOR,ZACH EFLIN,JOSE BERRIOS,0.3032,0.3362,0.6137,,0.0,,10.0,0.0,-149.0,125.0,,2.0,8.0,0.0153,0.5984,2024
2024-03-28,BOS @ SEA,SEA,BOS,LUIS CASTILLO,BRAYAN BELLO,0.3133,0.3305,0.5829,,0.0,,10.0,0.0,-149.0,125.0,,4.0,6.0,-0.0155,0.5984,2024
2024-03-28,SF @ SD,SD,SF,YU DARVISH,LOGAN WEBB,0.2978,0.3256,0.6233,HOME -1.5 *,1.0,1.0,10.0,1.0,-110.0,-110.0,,6.0,4.0,0.0995,0.5238,2024
2024-03-28,PIT @ MIA,MIA,PIT,JESUS LUZARDO,MITCH KELLER,0.3306,0.3216,0.5177,,0.0,,11.0,0.0,-130.0,110.0,,5.0,6.0,-0.0475,0.5652,2024
2024-03-28,STL @ LAD,LAD,STL,TYLER GLASNOW,MILES MIKOLAS,0.2573,0.3338,0.7401,,1.0,,8.0,1.0,-250.0,204.0,,7.0,1.0,0.0259,0.7143,2024
2024-03-28,MIN @ KC,KC,MIN,COLE RAGANS,PABLO LOPEZ,0.2797,0.302,0.6009,HOME -1.5 **,0.0,0.0,5.0,0.0,104.0,-125.0,,1.0,4.0,0.1107,0.4902,2024
2024-03-28,NYY @ HOU,HOU,NYY,FRAMBER VALDEZ,NESTOR CORTES,0.2933,0.2979,0.5442,AWAY +1.5 *,0.0,1.0,9.0,0.0,-154.0,129.0,,4.0,5.0,-0.0621,0.6063,2024
2024-03-28,DET @ CWS,CWS,DET,GARRETT CROCHET,TARIK SKUBAL,0.2665,0.2573,0.5089,HOME -1.5 *,0.0,0.0,1.0,0.0,135.0,-159.0,,0.0,1.0,0.0833,0.4255,2024
2024-03-28,LAA @ BAL,BAL,LAA,CORBIN BURNES,PATRICK SANDOVAL,0.2873,0.3248,0.639,,1.0,,14.0,1.0,-200.0,165.0,,11.0,3.0,-0.0277,0.6667,2024
2024-03-28,COL @ AZ,AZ,COL,ZAC GALLEN,KYLE FREELAND,0.3108,0.345,0.641,,1.0,,17.0,1.0,,,,16.0,1.0,,,2024
2024-03-29,TOR @ TB,TB,TOR,AARON CIVALE,CHRIS BASSITT,0.3146,0.3303,0.5705,,1.0,,10.0,1.0,-125.0,104.0,,8.0,2.0,0.0149,0.5556,2024
2024-03-29,BOS @ SEA,SEA,BOS,GEORGE KIRBY,NICK PIVETTA,0.2897,0.2916,0.5447,AWAY +1.5 *,0.0,1.0,1.0,1.0,-149.0,125.0,,1.0,0.0,-0.0537,0.5984,2024
2024-03-29,SF @ SD,SD,SF,JOE MUSGROVE,KYLE HARRISON,0.324,0.3407,0.5854,,0.0,,11.0,0.0,-141.0,120.0,,3.0,8.0,0.0003,0.5851,2024
2024-03-29,CLE @ ATH,ATH,CLE,ROSS STRIPLING,LOGAN ALLEN,0.3395,0.3688,0.618,,0.0,,10.0,0.0,,,,4.0,6.0,,,2024
2024-03-29,MIL @ NYM,NYM,MIL,JOSE QUINTANA,FREDDY PERALTA,0.3302,0.3062,0.4901,,0.0,,4.0,0.0,-115.0,-105.0,,1.0,3.0,-0.0448,0.5349,2024
2024-03-29,STL @ LAD,LAD,STL,BOBBY MILLER,ZACK THOMPSON,0.3958,0.3401,0.4137,AWAY +1.5 **,1.0,0.0,9.0,1.0,-227.0,185.0,,6.0,3.0,-0.2805,0.6942,2024
2024-03-29,NYY @ HOU,HOU,NYY,CRISTIAN JAVIER,CARLOS RODON,0.3287,0.316,0.493,AWAY +1.5 *,0.0,1.0,8.0,0.0,-120.0,100.0,,1.0,7.0,-0.0524,0.5455,2024
2024-03-29,COL @ AZ,AZ,COL,MERRILL KELLY,CAL QUANTRILL,0.3451,0.3548,0.5794,,1.0,,10.0,1.0,,,,7.0,3.0,,,2024
2024-03-30,CHC @ TEX,TEX,CHC,CODY BRADFORD,KYLE HENDRICKS,0.2921,0.3385,0.6555,HOME -1.5 *,1.0,1.0,13.0,1.0,-125.0,104.0,,11.0,2.0,0.1,0.5556,2024
2024-03-30,TOR @ TB,TB,TOR,ZACK LITTELL,YUSEI KIKUCHI,0.3261,0.3014,0.4694,AWAY +1.5 *,1.0,0.0,6.0,1.0,-130.0,110.0,,5.0,1.0,-0.0958,0.5652,2024
2024-03-30,BOS @ SEA,SEA,BOS,LOGAN GILBERT,KUTTER CRAWFORD,0.2763,0.3073,0.6174,,0.0,,7.0,1.0,-154.0,129.0,,4.0,3.0,0.0111,0.6063,2024
2024-03-30,SF @ SD,SD,SF,DYLAN CEASE,JORDAN HICKS,0.2863,0.3382,0.6833,HOME -1.5 **,0.0,0.0,15.0,0.0,-125.0,104.0,,6.0,9.0,0.1278,0.5556,2024
2024-03-30,ATL @ PHI,PHI,ATL,AARON NOLA,MAX FRIED,0.3042,0.3041,0.5466,HOME -1.5 *,0.0,0.0,16.0,0.0,114.0,-135.0,,4.0,12.0,0.0793,0.4673,2024
2024-03-30,CLE @ ATH,ATH,CLE,JP SEARS,TANNER BIBEE,0.3277,0.3035,0.4788,,0.0,,15.0,0.0,,,,3.0,12.0,,,2024
2024-03-30,MIL @ NYM,NYM,MIL,LUIS SEVERINO,DL HALL,0.3069,0.3271,0.6011,,0.0,,13.0,0.0,-125.0,104.0,,6.0,7.0,0.0455,0.5556,2024
2024-03-30,PIT @ MIA,MIA,PIT,RYAN WEATHERS,JARED JONES,0.3177,0.3122,0.5265,,0.0,,12.0,0.0,-110.0,-110.0,,3.0,9.0,0.0027,0.5238,2024
2024-03-30,STL @ LAD,LAD,STL,YOSHINOBU YAMAMOTO,LANCE LYNN,0.2919,0.3417,0.6733,,0.0,,11.0,0.0,-227.0,185.0,,5.0,6.0,-0.0209,0.6942,2024
2024-03-30,MIN @ KC,KC,MIN,SETH LUGO,JOE RYAN,0.3043,0.2684,0.4522,,0.0,,6.0,0.0,100.0,-120.0,,1.0,5.0,-0.0478,0.5,2024
2024-03-30,NYY @ HOU,HOU,NYY,HUNTER BROWN,MARCUS STROMAN,0.2862,0.3425,0.6689,HOME -1.5 **,0.0,0.0,8.0,0.0,-130.0,110.0,,3.0,5.0,0.1037,0.5652,2024
2024-03-30,WSH @ CIN,CIN,WSH,HUNTER GREENE,PATRICK CORBIN,0.2755,0.3595,0.7472,HOME -1.5 **,0.0,0.0,13.0,0.0,-179.0,150.0,,6.0,7.0,0.1056,0.6416,2024
2024-03-30,DET @ CWS,CWS,DET,MICHAEL SOROKA,KENTA MAEDA,0.3316,0.3255,0.5157,,0.0,,13.0,0.0,110.0,-130.0,,6.0,7.0,0.0395,0.4762,2024
2024-03-30,LAA @ BAL,BAL,LAA,GRAYSON RODRIGUEZ,GRIFFIN CANNING,0.3031,0.3384,0.6407,,1.0,,17.0,1.0,-179.0,150.0,,13.0,4.0,-0.0008,0.6416,2024
2024-03-30,COL @ AZ,AZ,COL,TOMMY HENRY,AUSTIN GOMBER,0.3854,0.3504,0.4694,,0.0,,13.0,0.0,,,,4.0,9.0,,,2024
2024-03-31,CHC @ TEX,TEX,CHC,JON GRAY,JORDAN WICKS,0.3323,0.3522,0.585,,0.0,,14.0,0.0,-135.0,114.0,,5.0,9.0,0.0105,0.5745,2024
2024-03-31,TOR @ TB,TB,TOR,SHAWN ARMSTRONG,KEVIN GAUSMAN,0.3495,0.3365,0.4985,,0.0,,11.0,0.0,100.0,-120.0,,2.0,9.0,-0.0015,0.5,2024
2024-03-31,BOS @ SEA,SEA,BOS,BRYCE MILLER,GARRETT WHITLOCK,0.3012,0.3253,0.6003,HOME -1.5 *,0.0,0.0,6.0,0.0,-115.0,-105.0,,1.0,5.0,0.0654,0.5349,2024
2024-03-31,ATL @ PHI,PHI,ATL,RANGER SUAREZ,CHRIS SALE,0.2999,0.2634,0.4502,,0.0,,9.0,1.0,125.0,-149.0,,5.0,4.0,0.0058,0.4444,2024
2024-03-31,CLE @ ATH,ATH,CLE,PAUL BLACKBURN,CARLOS CARRASCO,0.3329,0.3347,0.5498,,0.0,,7.0,1.0,,,,4.0,3.0,,,2024
2024-03-31,MIL @ NYM,NYM,MIL,TYLOR MEGILL,COLIN REA,0.318,0.3423,0.6044,,0.0,,5.0,0.0,-141.0,120.0,,1.0,4.0,0.0194,0.5851,2024
2024-03-31,PIT @ MIA,MIA,PIT,TREVOR ROGERS,BAILEY FALTER,0.3488,0.3402,0.5083,AWAY +1.5 *,0.0,1.0,16.0,0.0,-149.0,125.0,,7.0,9.0,-0.0901,0.5984,2024
2024-03-31,STL @ LAD,LAD,STL,GAVIN STONE,STEVEN MATZ,0.3119,0.333,0.6057,,0.0,,9.0,1.0,-179.0,150.0,,5.0,4.0,-0.0359,0.6416,2024
2024-03-31,MIN @ KC,KC,MIN,BRADY SINGER,BAILEY OBER,0.3359,0.2841,0.4126,AWAY +1.5 *,1.0,0.0,11.0,1.0,100.0,-120.0,,11.0,0.0,-0.0874,0.5,2024
2024-03-31,WSH @ CIN,CIN,WSH,NICK MARTINEZ,JAKE IRVIN,0.2826,0.3234,0.6409,,0.0,,11.0,1.0,-169.0,145.0,,6.0,5.0,0.0126,0.6283,2024
2024-03-31,DET @ CWS,CWS,DET,ERICK FEDDE,JACK FLAHERTY,0.3089,0.2958,0.4982,HOME -1.5 *,0.0,0.0,5.0,0.0,125.0,-149.0,,2.0,3.0,0.0537,0.4444,2024
2024-03-31,LAA @ BAL,BAL,LAA,TYLER WELLS,REID DETMERS,0.4104,0.3152,0.3073,AWAY +1.5 **,0.0,1.0,5.0,0.0,-141.0,120.0,,1.0,4.0,-0.2778,0.5851,2024
2024-03-31,COL @ AZ,AZ,COL,BRANDON PFAADT,RYAN FELTNER,0.3031,0.3259,0.6121,,1.0,,6.0,1.0,,,,5.0,1.0,,,2024
2024-04-01,PIT @ WSH,WSH,PIT,MACKENZIE GORE,MARCO GONZALES,0.3173,0.3906,0.7218,HOME -1.5 **,0.0,0.0,12.0,0.0,-110.0,-110.0,,4.0,8.0,0.198,0.5238,2024
2024-04-01,TEX @ TB,TB,TEX,RYAN PEPIOT,DANE DUNNING,0.2979,0.3489,0.662,HOME -1.5 *,0.0,0.0,12.0,0.0,-130.0,110.0,,3.0,9.0,0.0968,0.5652,2024
2024-04-01,CLE @ SEA,SEA,CLE,EMERSON HANCOCK,TRISTON MCKENZIE,0.3721,0.3599,0.5177,,0.0,,9.0,1.0,-105.0,-115.0,,5.0,4.0,0.0055,0.5122,2024
2024-04-01,STL @ SD,SD,STL,MATT WALDRON,KYLE GIBSON,0.3164,0.3403,0.6099,HOME -1.5 *,0.0,0.0,8.0,0.0,-125.0,104.0,,2.0,6.0,0.0543,0.5556,2024
2024-04-01,CIN @ PHI,PHI,CIN,CRISTOPHER SANCHEZ,ANDREW ABBOTT,0.2979,0.3118,0.5929,,0.0,,9.0,0.0,-149.0,125.0,,3.0,6.0,-0.0055,0.5984,2024
2024-04-01,BOS @ ATH,ATH,BOS,JOE BOYLE,TANNER HOUCK,0.3231,0.3181,0.5247,,0.0,,9.0,0.0,,,,0.0,9.0,,,2024
2024-04-01,DET @ NYM,NYM,DET,SEAN MANAEA,REESE OLSON,0.3041,0.2989,0.5391,,0.0,,5.0,0.0,-141.0,120.0,,0.0,5.0,-0.046,0.5851,2024
2024-04-01,SF @ LAD,LAD,SF,JAMES PAXTON,KEATON WINN,0.3386,0.3613,0.6046,AWAY +1.5 *,1.0,0.0,11.0,1.0,-208.0,175.0,,8.0,3.0,-0.0707,0.6753,2024
2024-04-01,TOR @ HOU,HOU,TOR,RONEL BLANCO,BOWDEN FRANCIS,0.3111,0.2906,0.4937,AWAY +1.5 **,1.0,0.0,10.0,1.0,-149.0,125.0,,10.0,0.0,-0.1047,0.5984,2024
2024-04-01,ATL @ CWS,CWS,ATL,CHRIS FLEXEN,CHARLIE MORTON,0.3393,0.3313,0.5038,HOME -1.5 **,0.0,0.0,9.0,0.0,265.0,-333.0,,0.0,9.0,0.2299,0.274,2024
2024-04-01,COL @ CHC,CHC,COL,SHOTA IMANAGA,DAKOTA HUDSON,0.2885,0.3737,0.75,,1.0,,5.0,1.0,-250.0,204.0,,5.0,0.0,0.0357,0.7143,2024
2024-04-01,KC @ BAL,BAL,KC,DEAN KREMER,MICHAEL WACHA,0.3308,0.3141,0.5018,AWAY +1.5 **,1.0,0.0,10.0,1.0,-154.0,129.0,,6.0,4.0,-0.1045,0.6063,2024
2024-04-01,NYY @ AZ,AZ,NYY,RYNE NELSON,LUIS GIL,0.3163,0.304,0.5004,,0.0,,7.0,0.0,,,,2.0,5.0,,,2024
2024-04-02,TEX @ TB,TB,TEX,ZACH EFLIN,ANDREW HEANEY,0.3032,0.328,0.5967,,1.0,,7.0,1.0,-154.0,129.0,,5.0,2.0,-0.0096,0.6063,2024
2024-04-02,STL @ SD,SD,STL,YU DARVISH,MILES MIKOLAS,0.2978,0.3338,0.6401,,0.0,,7.0,0.0,-159.0,135.0,,2.0,5.0,0.0262,0.6139,2024
2024-04-02,CIN @ PHI,PHI,CIN,SPENCER TURNBULL,GRAHAM ASHCRAFT,0.3141,0.3495,0.6363,HOME -1.5 *,1.0,1.0,13.0,1.0,-141.0,120.0,,9.0,4.0,0.0512,0.5851,2024
2024-04-02,BOS @ ATH,ATH,BOS,ALEX WOOD,BRAYAN BELLO,0.3883,0.3305,0.3952,,0.0,,9.0,0.0,,,,4.0,5.0,,,2024
2024-04-02,MIN @ MIL,MIL,MIN,JAKOB JUNIS,LOUIS VARLAND,0.3092,0.3559,0.6548,HOME -1.5 **,0.0,0.0,5.0,1.0,-120.0,100.0,,3.0,2.0,0.1093,0.5455,2024
2024-04-02,LAA @ MIA,MIA,LAA,JESUS LUZARDO,TYLER ANDERSON,0.3306,0.3258,0.5161,AWAY +1.5 *,0.0,1.0,4.0,0.0,-141.0,120.0,,1.0,3.0,-0.069,0.5851,2024
2024-04-02,SF @ LAD,LAD,SF,RYAN BRASIER,LOGAN WEBB,0.2954,0.3256,0.6281,,0.0,,9.0,1.0,-149.0,125.0,,5.0,4.0,0.0297,0.5984,2024
2024-04-02,TOR @ HOU,HOU,TOR,FRAMBER VALDEZ,JOSE BERRIOS,0.2933,0.3362,0.6586,HOME -1.5 *,0.0,0.0,3.0,0.0,-149.0,125.0,,1.0,2.0,0.0602,0.5984,2024
2024-04-02,ATL @ CWS,CWS,ATL,GARRETT CROCHET,REYNALDO LOPEZ,0.2665,0.3105,0.6286,HOME -1.5 **,0.0,0.0,5.0,1.0,154.0,-185.0,,3.0,2.0,0.2348,0.3937,2024
